new_name;page;qid;id;layout;filter;group;question_dutch;subquestion_dutch;categories_dutch;question_english;subquestion_english;categories_english;ordered;type;nice_name_english
;16.2;q16c;;multi;EmploymentStatus;Tax Deferral;Voor zover bij u bekend, heeft uw werkgever bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ja, maar de aanvraag is afgewezen;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;Yes, but the application was rejected;;;bool;
;16.3;q16c;;multi;EmploymentStatus;Tax Deferral;Voor zover bij u bekend, heeft uw werkgever bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ja, maar ik weet nog niet of de aanvraag is toegekend;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;Yeah, but I don't know if the application's been granted yet.;;;bool;
;16.4;q16c;;multi;EmploymentStatus;Tax Deferral;Voor zover bij u bekend, heeft uw werkgever bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Nee, maar ik denk dat mijn werkgever dit wel gaat doen;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, but I think my employer is going to do this;;;bool;
;16.5;q16c;;multi;EmploymentStatus;Tax Deferral;Voor zover bij u bekend, heeft uw werkgever bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Nee, ik denk niet dat het nodig is;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, I don't think it's necessary;;;bool;
;16.6;q16c;;multi;EmploymentStatus;Tax Deferral;Voor zover bij u bekend, heeft uw werkgever bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Nee, ik denk niet dat het mogelijk is;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, I don't think it's possible;;;bool;
;16.7;q16c;;multi;EmploymentStatus;Tax Deferral;Voor zover bij u bekend, heeft uw werkgever bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ik weet het niet;;To the best of your knowledge, has your employer applied for a special tax deferral? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferment of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, I don't think it's possible;;;bool;
;17.1;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ja, de aanvraag is toegekend;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;Yes, the application has been granted;;;bool;
;17.2;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ja, maar de aanvraag is afgewezen;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;Yes, but the application was rejected;;;bool;
;17.3;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ja, maar ik weet nog niet of de aanvraag is toegekend;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;Yeah, but I don't know if the application's been granted yet.;;;bool;
;17.4;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, maar ik ga dit wel doen;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, but I'm gonna do this;;;bool;
;17.5;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, ik denk niet dat mijn bedrijf hiervoor in aanmerking komt;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, I don't think my company qualifies for this;;;bool;
;17.6;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, ik heb geen werknemers in dienst/geen loonkosten;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, I have no employees/no payroll costs;;;bool;
;17.7;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, dit is te veel administratief gedoe;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, this is too much red tape;;;bool;
;17.8;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Nee, om een andere reden;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;No, for another reason;;;bool;
;17.9;q17a;;multi;EmploymentStatus;NOW among Self-Employed;Hebt u een aanvraag ingediend voor een tegemoetkoming in de loonkosten (de tijdelijke Noodmaatregel Overbrugging Werkgelegenheid, afgekort de NOW)? De regeling is bedoeld voor werkgevers die als gevolg van het coronavirus kampen met een omzetverlies van ten minste 20%. Zij kunnen bij het UWV een aanvraag indienen voor een tegemoetkoming in de loonkosten.;Ik wist niet dat deze regeling er is;;Have you submitted an application for an allowance for labour costs (the temporary Emergency Measure Bridging Employment, abbreviated to NOW)? The scheme is intended for employers who suffer a loss of turnover of at least 20% as a result of the coronavirus. They can apply to the UWV for an allowance for labour costs.;I didn't know there was this arrangement;;;bool;
;18.1;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ja, de aanvraag is toegekend;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;Yes, the application has been granted;;;bool;
;18.2;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ja, maar de aanvraag is afgewezen;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;Yes, but the application was rejected;;;bool;
;18.3;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ja, maar ik weet nog niet of de aanvraag is toegekend;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;Yeah, but I don't know if the application's been granted yet.;;;bool;
;18.4;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Nee, maar ik ga dit wel doen;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;No, but I'm gonna do this;;;bool;
;18.5;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Nee, ik denk niet dat mijn bedrijf hiervoor in aanmerking komt;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;No, I don't think my company qualifies for this;;;bool;
;18.6;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Nee, dit is te veel administratief gedoe;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;No, this is too much red tape;;;bool;
;18.7;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Nee, om een andere reden;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;No, for another reason;;;bool;
;18.8;q17b;;multi;EmploymentStatus;TOGS among Self-Employed;Hebt u een aanvraag ingediend voor de Tegemoetkoming Ondernemers Getroffen Sectoren Covid-19 (TOGS)? De TOGS is een noodmaatregel om ondernemers te ondersteunen die directe schade ondervinden vanwege het coronavirus. Zij kunnen eenmalig 4000 euro krijgen om hun vaste lasten (bv. huur van een bedrijfspand) te betalen.;Ik wist niet dat deze regeling er is;;Have you submitted an application for the Covid-19 Entrepreneurs Affected Sectors (TOGS)? TOGS is an emergency measure to support entrepreneurs who are directly affected by the coronavirus. They can receive a one-off sum of 4000 euros to pay their fixed costs (e.g. rent of a business premises).;I didn't know there was this arrangement;;;bool;
;19.1;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ja, de aanvraag is toegekend;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;Yes, the application has been granted;;;bool;
;19.2;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ja, maar de aanvraag is afgewezen;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;Yes, but the application was rejected;;;bool;
;19.3;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ja, maar ik weet nog niet of de aanvraag is toegekend;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;Yeah, but I don't know if the application's been granted yet.;;;bool;
;19.4;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Nee, maar ik ga dit wel doen;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, but I'm gonna do this;;;bool;
;19.5;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Nee, ik denk niet dat mijn bedrijf hiervoor in aanmerking komt;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, I don't think my company qualifies for this;;;bool;
;19.6;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Nee, dit is te veel administratief gedoe;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, this is too much red tape;;;bool;
;19.7;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Nee, om een andere reden;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;No, for another reason;;;bool;
;19.8;q17c;;multi;EmploymentStatus;Tax Deferral among Self-Employed;Hebt u bijzondere uitstel van belasting aangevraagd? Wanneer een ondernemer betalingsproblemen heeft als gevolg van het coronavirus, dan kan het bedrijf bij de Belastingdienst bijzonder uitstel van betaling aanvragen voor alle aanslagen inkomstenbelasting, vennootschapsbelasting, omzetbelasting (BTW) en loonbelasting.;Ik wist niet dat deze regeling er is;;Have you applied for special tax deferrals? If an entrepreneur has payment problems as a result of the corona virus, the company can apply to the tax authorities for a special deferral of payment for all income tax, corporation tax, turnover tax (VAT) and wage tax assessments.;I didn't know there was this arrangement;;;bool;
;20.1;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Ja, de aanvraag is toegekend;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;Yes, the application has been granted;;;bool;
;20.2;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Ja, maar de aanvraag is afgewezen;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;Yes, but the application was rejected;;;bool;
;20.3;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Ja, maar ik weet nog niet of de aanvraag is toegekend;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;Yeah, but I don't know if the application's been granted yet.;;;bool;
;20.4;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Nee, maar ik ga dit wel doen;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;No, but I'm gonna do this;;;bool;
;20.5;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Nee, ik denk niet dat mijn bedrijf hiervoor in aanmerking komt;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;No, I don't think my company qualifies for this;;;bool;
;20.6;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Nee, dit is te veel administratief gedoe;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;No, this is too much red tape;;;bool;
;20.7;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Nee, om een andere reden;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;No, for another reason;;;bool;
;20.8;q17d;;multi;EmploymentStatus;Tozo among Self-Employed;Hebt u een aanvraag ingediend voor de inkomensondersteuning voor zelfstandigen (de Tijdelijke overbruggingsregeling zelfstandig ondernemers, afgekort de Tozo)? De regeling voorziet in een aanvullende uitkering voor levensonderhoud als het inkomen door de coronacrisis tot onder het sociaal minimum daalt. En in een lening voor bedrijfskapitaal om liquiditeitsproblemen als gevolg van de coronacrisis op te vangen.;Ik wist niet dat deze regeling er is;;Have you submitted an application for income support for the self-employed (the Temporary bridging scheme for the self-employed, abbreviated to Tozo)? The scheme provides for a supplementary livelihood allowance if the income falls below the social minimum due to the corona crisis. And a loan for working capital to absorb liquidity problems as a result of the corona crisis.;I didn't know there was this arrangement;;;bool;
;21.1;q17e;;multi;EmploymentStatus;G-rekening among Self-Employed;Hebt u gebruik gemaakt van het deblokkeren van de g-rekening? Een g-rekening is een geblokkeerde bankrekening en is bedoeld voor bedrijven die personeel uitlenen. Van deze rekening kan alleen geld naar een speciaal gironummer van de Belastingdienst en naar andere g-rekeningen worden overgemaakt.;Ja;;Did you use the unblocking of the g-account? A g-account is a blocked bank account and is intended for companies that lend out personnel. Money can only be transferred from this account to a special giro account number of the Tax and Customs Administration and to other g-accounts.;Yes;;;bool;
