new_name;page;qid;id;layout;filter;group_english;question_dutch;subquestion_dutch;category_dutch;ordered;type;nice_name_english
;35;cruciaal;;cat;q14header;Crucial Profession Among Employed;Valt uw beroep onder de cruciale beroepsgroep?;;Ja, Nee;TRUE;Categorical;
;36;cruciaal_notempl;;cat;q14header;Crucial Former Profession Among Unemployed;Valt het beroep dat u hebt uitgeoefend onder de cruciale beroepsgroep? Als u nooit gewerkt hebt, kunt u 'niet van toepassing' antwoorden.;;Ja, Nee, Weet ik niet/Niet van toepassing;TRUE;Categorical;
;37;income;inc_jan;grid;-;Income Last Three Months;Wat was in de afgelopen drie maanden het gezamenljke bruto maandinkomen van uw huishouden? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz. Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;inkomen in januari:;;;int;
;37;income;inc_feb;grid;-;Income Last Three Months;Wat was in de afgelopen drie maanden het gezamenljke bruto maandinkomen van uw huishouden? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz. Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;inkomen in februari:;;;int;
;37;income;inc_mrt;grid;-;Income Last Three Months;Wat was in de afgelopen drie maanden het gezamenljke bruto maandinkomen van uw huishouden? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz. Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;inkomen in maart:;;;int;
;38;expectedincome;expinc2020;grid;-;Expected Income Next Years;We willen graag weten wat u verwacht dat het gezamenljke bruto jaarinkomen van uw huishouden voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.  Geeft u aan wat u verwachtte dat het gezamenljke inkomen van uw huishouden zou zijn, vóórdat er sprake was van de uitbraak van het coronavirus. Dus, wat u verwacht dat het gezamenljke inkomen van uw huishouden zou zijn zonder de uitbraak van het coronavirus. Daarnaast wat u nu verwacht dat in deze jaren dat het inkomen zal  Zijn. Geeft u de verwachtingen van het gezamenlijke bruto jaarinkomen van uw huishouden met en zonder de uitbraak van het coronavirus.;Voor dit jaar (dus ook voor de maanden januari, februari en maart);"Vóórdat er sprake was van de
uitbraak van het coronavirus, Onder de omstandigheden
van dit moment";;int;
;38;expectedincome;expinc2021;grid;-;Expected Income Next Years;We willen graag weten wat u verwacht dat het gezamenljke bruto jaarinkomen van uw huishouden voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.  Geeft u aan wat u verwachtte dat het gezamenljke inkomen van uw huishouden zou zijn, vóórdat er sprake was van de uitbraak van het coronavirus. Dus, wat u verwacht dat het gezamenljke inkomen van uw huishouden zou zijn zonder de uitbraak van het coronavirus. Daarnaast wat u nu verwacht dat in deze jaren dat het inkomen zal  Zijn. Geeft u de verwachtingen van het gezamenlijke bruto jaarinkomen van uw huishouden met en zonder de uitbraak van het coronavirus.;Voor het jaar 2021;"Vóórdat er sprake was van de
uitbraak van het coronavirus, Onder de omstandigheden
van dit moment";;int;
;38;expectedincome;expinc2022;grid;-;Expected Income Next Years;We willen graag weten wat u verwacht dat het gezamenljke bruto jaarinkomen van uw huishouden voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.  Geeft u aan wat u verwachtte dat het gezamenljke inkomen van uw huishouden zou zijn, vóórdat er sprake was van de uitbraak van het coronavirus. Dus, wat u verwacht dat het gezamenljke inkomen van uw huishouden zou zijn zonder de uitbraak van het coronavirus. Daarnaast wat u nu verwacht dat in deze jaren dat het inkomen zal  Zijn. Geeft u de verwachtingen van het gezamenlijke bruto jaarinkomen van uw huishouden met en zonder de uitbraak van het coronavirus.;Voor het jaar 2022;"Vóórdat er sprake was van de
uitbraak van het coronavirus, Onder de omstandigheden
van dit moment";;int;
;39;ExpUnempl_before;ExpUnempl_before2020;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2020;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;TRUE;Categorical;
;39;ExpUnempl_before;ExpUnempl_before2021;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2021;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;TRUE;Categorical;
;39;ExpUnempl_before;ExpUnempl_before2021;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2022;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2020;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2020;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2021;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2021;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2022;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2022;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;TRUE;Categorical;
;41;ExpEcGrowth_before;ExpEcGr_before2020;table;-;Expected Economic Growth Before;"We willen graag weten wat u verwachtte dat de groei van de economie in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar.

Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de economische groei zou worden in 2020, 2021 en 2022.

Daarna vragen we u wat u nu verwacht dat de economische groei zal worden voor die jaren.

Uw verwachtingen over de economische groei vóórdat er sprake was van de uitbraak van het coronavirus:";2020;minder dan -4%, -4% tot -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%,  4% of hoger;TRUE;Categorical;
;41;ExpEcGrowth_before;ExpEcGr_before2021;table;-;Expected Economic Growth Before;"We willen graag weten wat u verwachtte dat de groei van de economie in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar.

Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de economische groei zou worden in 2020, 2021 en 2022.

Daarna vragen we u wat u nu verwacht dat de economische groei zal worden voor die jaren.

Uw verwachtingen over de economische groei vóórdat er sprake was van de uitbraak van het coronavirus:";2021;minder dan -4%, -4% tot -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%,  4% of hoger;TRUE;Categorical;
;41;ExpEcGrowth_before;ExpEcGr_before2022;table;-;Expected Economic Growth Before;"We willen graag weten wat u verwachtte dat de groei van de economie in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar.

Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de economische groei zou worden in 2020, 2021 en 2022.

Daarna vragen we u wat u nu verwacht dat de economische groei zal worden voor die jaren.

Uw verwachtingen over de economische groei vóórdat er sprake was van de uitbraak van het coronavirus:";2022;minder dan -4%, -4% tot -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%,  4% of hoger;TRUE;Categorical;
;42;ExpEcGrowth_today;ExpEcGrowth_today;table;-;Expected Economic Growth Today;"En wat zijn uw verwachtingen over de economische groei onder de
omstandigheden van dit moment: (De economische groei was in de periode 2017-2019 ongeveer 2,5% per jaar.)
Let op, de antwoorden zijn veranderd.";2020;minder dan -10%, -10% tot -5%,  -5% tot 0%, 0% tot 5%, 5% tot 10%,  10% of hoger;TRUE;Categorical;
;42;ExpEcGrowth_today;ExpEcGrowth_today;table;-;Expected Economic Growth Today;"En wat zijn uw verwachtingen over de economische groei onder de
omstandigheden van dit moment: (De economische groei was in de periode 2017-2019 ongeveer 2,5% per jaar.)
Let op, de antwoorden zijn veranderd.";2021;minder dan -10%, -10% tot -5%,  -5% tot 0%, 0% tot 5%, 5% tot 10%,  10% of hoger;TRUE;Categorical;
;42;ExpEcGrowth_today;ExpEcGrowth_today;table;-;Expected Economic Growth Today;"En wat zijn uw verwachtingen over de economische groei onder de
omstandigheden van dit moment: (De economische groei was in de periode 2017-2019 ongeveer 2,5% per jaar.)
Let op, de antwoorden zijn veranderd.";2022;minder dan -10%, -10% tot -5%,  -5% tot 0%, 0% tot 5%, 5% tot 10%,  10% of hoger;TRUE;Categorical;
;43;ExpInfl_before;ExpInfl_before2020;table;-;Expected Inflation Before;We willen graag weten wat u verwachtte dat de prijsverandering (verandering van de cosumptieprijzen, inflatie) in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar. Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de inflatie zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat de inflatie zal worden voor die jaren. Uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen) vóórdat er sprake was van de uitbraak van het coronavirus:;2020;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;TRUE;Categorical;
;43;ExpInfl_before;ExpInfl_before2021;table;-;Expected Inflation Before;We willen graag weten wat u verwachtte dat de prijsverandering (verandering van de cosumptieprijzen, inflatie) in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar. Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de inflatie zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat de inflatie zal worden voor die jaren. Uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen) vóórdat er sprake was van de uitbraak van het coronavirus:;2021;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;TRUE;Categorical;
;43;ExpInfl_before;ExpInfl_before2022;table;-;Expected Inflation Before;We willen graag weten wat u verwachtte dat de prijsverandering (verandering van de cosumptieprijzen, inflatie) in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar. Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de inflatie zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat de inflatie zal worden voor die jaren. Uw verwachtingen over de inflatie (een negatief percentage betekent dat prijzen dalen) vóórdat er sprake was van de uitbraak van het coronavirus:;2022;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;TRUE;Categorical;
;44;ExpInfl_today;ExpInfl_today2020;table;-;Expected Inflation Today;"En wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent
dat prijzen dalen) onder de omstandigheden van dit moment:
(De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.)";2020;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;TRUE;Categorical;
;44;ExpInfl_today;ExpInfl_today2021;table;-;Expected Inflation Today;"En wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent
dat prijzen dalen) onder de omstandigheden van dit moment:
(De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.)";2021;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;TRUE;Categorical;
;44;ExpInfl_today;ExpInfl_today2022;table;-;Expected Inflation Today;"En wat zijn uw verwachtingen over de inflatie (een negatief percentage betekent
dat prijzen dalen) onder de omstandigheden van dit moment:
(De inflatie was in de periode 2017-2019 ongeveer 1,8% per jaar.)";2022;minder dan -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%, 4% tot 6%,  6% of hoger;TRUE;Categorical;
;45.1;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik helemaal geen risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz.;;TRUE;bool;
;45.2;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz., maar heb ik geen aankoop of verkoop gedaan.;;TRUE;bool;
;45.3;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. gekocht, maar heb ik niets verkocht.;;TRUE;bool;
;45.4;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. verkocht, maar heb ik niets gekocht.;;TRUE;bool;
;45.5;StockTrading;;multi;-;Stock Trading;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de afgelopen maanden. Kiest u het antwoord dat het beste bij uw situatie past. Sinds half februari… ;heb ik risicovolle bezittingen zoals aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. gekocht en verkocht.;;TRUE;bool;
;46;Stock3;;cat;StockTrading;Amount Bought Among Buyers;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer uitgegeven aan aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz.?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;TRUE;Categorical;
;47;Stock4;;cat;StockTrading;Amount Sold Among Sellers;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer van uw aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. verkocht?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;TRUE;Categorical;
;48;Stock5;;cat;StockTrading;Amount Bought Among Those who Bought And Sold;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer van uw aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. gekocht?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;TRUE;Categorical;
;49;Stock6;;cat;StockTrading;Amount Sold Among Those who Bought And Sold;In vergelijking met een normale periode van twee maanden in de afgelopen jaren, hebt u dan minder of meer van uw aandelen, bedrijfsobligaties, investeringen in beleggingsfondsen enz. verkocht?;;veel minder, minder, ongeveer hetzelfde, meer, veel meer;TRUE;Categorical;
;50.1;q31header;q31a;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik me heel erg ga vervelen;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;50.2;q31header;q31b;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik besmet word met het coronavirus en heel erg ziek word of dood ga;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;50.3;q31header;q31c;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik besmet word met het coronavirus en anderen besmet;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;50.4;q31header;q31d;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat dierbaren besmet worden met het coronavirus en heel ziek worden of dood gaan;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;50.5;q31header;q31e;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik mijn baan zal verliezen ;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;50.6;q31header;q31f;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik niet in staat ben voldoende eten te kopen;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;50.7;q31header;q31g;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat ik geen goede gezondheidszorg zal krijgen;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;50.8;q31header;q31h;table;-;Concerns;"Tot slot.
Als u denkt aan de komende vier weken, hoe bezorgd bent u dan over het volgende?";Dat mijn favoriete restaurant/café failliet gaat;Helemaal niet bezorgd, , , ,Heel erg bezorgd;TRUE;Categorical;
;51.1;eva2h;eva2t1;table;-;Liked Questionnaire;"NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:
";Vond u het moeilijk om de vragen te beantwoorden?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";TRUE;Categorical;
;51.2;eva2h;eva2t2;table;-;Liked Questionnaire;"NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:
";Vond u de vragen duidelijk?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";TRUE;Categorical;
;51.3;eva2h;eva2t3;table;-;Liked Questionnaire;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";Heeft de vragenlijst u aan het denken gezet?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";TRUE;Categorical;
;51.4;eva2h;eva2t4;table;-;Liked Questionnaire;"NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:
"; Vond u het onderwerp interessant?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";TRUE;Categorical;
;51.5;eva2h;eva2t5;table;-;Liked Questionnaire;"NB: Maakt u alstublieft de vragenlijst af totdat u weer bij het beginscherm komt. Pas dan registreert het systeem de vragenlijst als volledig ingevuld. Tot slot. Wat vond u van deze vragenlijst:
"; Vond u het plezierig om de vragen in te vullen?;"1 = beslist niet, 2, 3, 4, 5 = beslist wel

";TRUE;Categorical;
;52;opm;;cat;-;Comments on Questionnaire;Hebt u nog opmerkingen over de vragenlijst?;;Ja, Nee;TRUE;Categorical;
