page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;subquestion_english;type;categories_dutch;categories_english;new_name
22.01;beliefs4;beliefs4;cat;EmploymentStatus and job_before;Unemployed – Beliefs Influence of CoViD-19 on Job Search;Heeft de uitbraak van het corona virus volgens u gevolgen voor het vinden van een zelfde soort baan als dat u eerder had?;;Do you think the corona virus outbreak has implications for finding the same kind of job you had before?;;Categorical;het is veel makkelijker om een baan te vinden|het is een beetje makkelijker om een baan te vinden|het is niet makkelijker en niet moeilijker|het is een beetje moeilijker om een baan te vinden|het is veel moeilijker om een baan te vinden;much easier to find a job|a little easier to find a job|no easier or harder|a little harder to find a job|much harder to find a job;
23.01;beliefs5;beliefs5;cat;EmploymentStatus and job_before;Unemployed – Beliefs Pay in Future Job;Als u in de komende twee maanden een zelfde baan met hetzelfde aantal uren vindt zoals u die eerder hebt gehad, denkt u dat u dan hetzelfde, of juist minder of meer salaris zou krijgen dan in uw vorige baan?;;If you find the same job with the same number of hours in the next two months as you have had before, do you think you would receive the same or less or more salary than in your previous job?;;Categorical;hetzelfde salaris|minder salaris|meer salarisik weet het niet;less salary|the same salary|more salary|I don't know;
24.01;JobSearch;JobSearch;cat;EmploymentStatus and job_before;Unemployed – Looking for job;Bent u op zoek naar werk?;;Are you looking for work?;;bool;Ja|Nee;yes|no;
25.01;DifferentJobs;DifferentJobs;cat;EmploymentStatus and job_before and JobSearch;Unemployed – Looking for Different Profession;Zoekt u (ook) naar een baan in een ander beroep, of denkt u een baan in een ander beroep in de nabije toekomst mee te nemen in uw zoektocht naar werk?;;Are you (also) looking for a job in another profession, or do you plan to take a job in another profession in the near future in your search for work?;;bool;Ja|Nee;yes|no;
26.01;NamesDifferentJobs;NamesDifferentJobs;open;DifferentJobs;Unemployed – Looking for Different Profession;In welk beroep / beroepen zoekt u naar werk, of welk beroep / beroepen denkt u in de nabije toekomst mee te nemen in uw zoektocht naar werk?;;In which profession(s) are you looking for work, or which profession(s) do you think you will include in your job search in the near future?;;str;;;
27.01;SearchingTraining1;SearchingTraining;table;DifferentJobs;Unemployed – Looking for Different Profession;Doet u iets om van beroep te veranderen?;door (actief) te zoeken naar een baan in een ander beroep;Do you do something to change your profession?;by (actively) looking for a job in another profession;Categorical;Ja, daar ben ik al mee bezig|Ja, ik ben van plan dit in de komende zes maanden te doen|Ja, Ik ga dit binnen een jaar doen als ik geen kansen op de lange termijn zie in het beroep [dat ik nu heb/dat ik heb gehad]|Nee;yes, I am already working on that|yes, I intend to do this in the next six months|yes, I'm going to do this within a year if I don't see any chances in the long term in the profession [that I have now/that I have had]|yes, I'm going to do this within a year if I don't see any chances in the long term in the profession [that I have now/that I have had]|no;
27.02;SearchingTraining2;SearchingTraining;table;DifferentJobs;Unemployed – Looking for Different Profession;Doet u iets om van beroep te veranderen?;door het volgen van een opleiding of bijscholing;Do you do something to change your profession?;by attending an education or refresher course;Categorical;Ja, daar ben ik al mee bezig|Ja, ik ben van plan dit in de komende zes maanden te doen|Ja, Ik ga dit binnen een jaar doen als ik geen kansen op de lange termijn zie in het beroep [dat ik nu heb/dat ik heb gehad]|Nee;yes, I am already working on that|yes, I intend to do this in the next six months|yes, I'm going to do this within a year if I don't see any chances in the long term in the profession [that I have now/that I have had]|yes, I'm going to do this within a year if I don't see any chances in the long term in the profession [that I have now/that I have had]|no;
28.01;q26a;q26;grid;EmploymentStatus;Expectations December among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Ik behoud mijn baan omdat mijn werkgever / het bedrijf financieel niet sterk wordt geraakt door het coronavirus of financieel gezond genoeg is om de lonen te kunnen blijven betalen;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I keep my job because my employer / company is not financially affected by the coronavirus or is financially healthy enough to continue to pay the wages;int;;;
28.02;q26b;q26;grid;EmploymentStatus;Expectations December among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";k behoud mijn baan omdat de overheid hulp biedt aan mijn werkgever / het bedrijf (bv. door een tegemoetkoming in de loonkosten);"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I keep my job because the government offers help to my employer / company (e.g. through an allowance for wage costs).;int;;;
28.03;q26c;q26;grid;EmploymentStatus;Expectations December among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Ik heb een nieuwe baan bij een andere werkgever;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I have a new job with another employer;int;;;
28.04;q26d;q26;grid;EmploymentStatus;Expectations December among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Ik ben werkloos / behoor niet meer tot de beroepsbevolking / gepensioneerd / ik heb een arbeidsongeschiktheidspensioen;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I am unemployed / no longer part of the labour force / retired / I have a disability pension;int;;;
28.05;q26e;q26;grid;EmploymentStatus;Expectations August among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Iets anders gebeurt;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";Something else happens;int;;;
29.01;q26a_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik behoud mijn baan omdat mijn werkgever / het bedrijf financieel niet sterk wordt geraakt door het coronavirus of financieel gezond genoeg is om de lonen te kunnen blijven betalen;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I keep my job because my employer / company is not financially affected by the coronavirus or is financially healthy enough to continue to pay wages;int;;;
29.02;q26b_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik behoud mijn baan omdat de overheid hulp biedt aan mijn werkgever / het bedrijf (bv. door een tegemoetkoming in de loonkosten);"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I keep my job because the government offers help to my employer / company (e.g. through an allowance for labour costs).;int;;;
29.03;q26c_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik heb een nieuwe baan bij een andere werkgever;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I have a new job with another employer;int;;;
29.04;q26d_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik ben werkloos / behoor niet meer tot de beroepsbevolking / gepensioneerd / ik heb een arbeidsongeschiktheidspensioen;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I am unemployed / do not belong to the labour force anymore / retired / I have a disability pension;int;;;
29.05;q26e_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Iets anders gebeurt;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";Something else happens;int;;;
30.01;q27a;q27header;grid;EmploymentStatus;Expectations December among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen?
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Mijn bedrijf gaat gewoon verder als eerst of het gaat zelfs beter dan voor de coronavirus crisis;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";My business continues as before or even better than before the coronavirus crisis.;int;;;
30.02;q27b;q27header;grid;EmploymentStatus;Expectations December among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen?
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis, maar zal geen steun nodig hebben van de overheid;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";My company will have less work than before the coronavirus crisis, but will not need government support.;int;;;
30.03;q27c;q27header;grid;EmploymentStatus;Expectations December among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen?
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal alleen overleven door steun van de overheid (bv. door de versoepeling uitstel van belastingbetaling of de aanvullende inkomensondersteuning voor levensonderhoud);"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";My company will have less work than before the coronavirus crisis and will survive only through government support (e.g. through the relaxation of tax deferrals or additional income support for livelihoods).;int;;;
30.04;q27d;q27header;grid;EmploymentStatus;Expectations December among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen?
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal moeten sluiten;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";My company will have less work than before the coronavirus crisis and will have to close down;int;;;
30.05;q27e;q27header;grid;EmploymentStatus;Expectations December among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen?
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Iets anders gebeurt;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";Something else happens;int;;;
31.01;q27a_1;q27header_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf gaat gewoon verder als eerst of het gaat zelfs beter dan voor de coronavirus crisis;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";My business continues as before or even better than before the coronavirus crisis;int;;;
31.02;q27b_1;q27header_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis, maar zal geen steun nodig hebben van de overheid;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";My company will have less work than before the coronavirus crisis, but will not need government support;int;;;
31.03;q27c_1;q27header_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal alleen overleven door steun van de overheid (bv. door de versoepeling uitstel van belastingbetaling of de aanvullende inkomensondersteuning voor levensonderhoud);"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";My company will have less work than before the coronavirus crisis and will survive only through government support (e.g. by relaxing tax deferrals or additional income support for livelihoods).;int;;;
31.04;q27d_1;q27header_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal moeten sluiten;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";My company will have less work than before the coronavirus crisis and will have to close down;int;;;
31.05;q27e_1;q27header_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Iets anders gebeurt;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";Something else happens;int;;;
32.01;q27a_ex;q27header_ex;grid;EmploymentStatus;Expectations December among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Ik heb een nieuwe baan gevonden;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I've found a new job;int;;;
32.02;q27b_ex;q27header_ex;grid;EmploymentStatus;Expectations December among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Ik ben bezig met een voltijds opleiding of vervolgopleiding;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I am in full-time education or continuing education;int;;;
32.03;q27c_ex;q27header_ex;grid;EmploymentStatus;Expectations December among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Ik werk dan niet, maar ben op zoek naar een nieuwe baan;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I'm not working then, but I'm looking for a new job;int;;;
32.04;q27d_ex;q27header_ex;grid;EmploymentStatus;Expectations December among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Ik werk dan niet en ben dan ook niet op zoek naar een nieuwe baan;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";I'm not working then and I'm not looking for a new job;int;;;
32.05;q27e_ex;q27header_ex;grid;EmploymentStatus;Expectations December among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich in december voordoen? 
 U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100. ";Iets anders gebeurt;"In your opinion, what are the chances of the following situations occurring in December? 
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100. ";Something else happens;int;;;
33.01;q27a_ex_1;q27header_ex_1;grid;EmploymentStatus;Expectations Next Year among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik heb een nieuwe baan gevonden;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I've found a new job;int;;;
33.02;q27b_ex_1;q27header_ex_1;grid;EmploymentStatus;Expectations Next Year among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik ben bezig met een voltijds opleiding of vervolgopleiding;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I am in full-time education or continuing education;int;;;
33.03;q27c_ex_1;q27header_ex_1;grid;EmploymentStatus;Expectations Next Year among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik werk dan niet, maar ben op zoek naar een nieuwe baan;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I'm not working then, but I'm looking for a new job;int;;;
33.04;q27d_ex_1;q27header_ex_1;grid;EmploymentStatus;Expectations Next Year among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik werk dan niet en ben dan ook niet op zoek naar een nieuwe baan;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";I'm not working then and I'm not looking for a new job;int;;;
33.05;q27e_ex_1;q27header_ex_1;grid;EmploymentStatus;Expectations Next Year among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen? 
U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Iets anders gebeurt;"In your opinion, what are the chances of the following situations occurring a year from now?
You can answer these questions on a scale from 0 to 100, where 0 stands for definitely not and 100 for definitely yes. Please note that your answers must add up to 100.";Something else happens;int;;;
34.01;inc_mei;income;grid;-;Income;"Wat was in de afgelopen vier maanden [if (p_aantalhh = 1): uw bruto maandinkomen/ if (p_aantalhh ≠ 1): het gezamenlijke bruto maandinkomen van uw huishouden]? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.
 Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.";inkomen in mei:;"What was in the past four months [if (p_numberhh = 1): your gross monthly income/ if (p_numberhh ≠ 1): your household's combined gross monthly income]? So all income from e.g. work, pension, unemployment benefit, etc.?
 If you do not know exactly, please give your best estimate. Just fill in figures (whole euros), without points and commas.";income in May:;int;;;
34.02;inc_jun;income;grid;-;Income;"Wat was in de afgelopen vier maanden [if (p_aantalhh = 1): uw bruto maandinkomen/ if (p_aantalhh ≠ 1): het gezamenlijke bruto maandinkomen van uw huishouden]? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.
 Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.";inkomen in juni:;"What was in the past four months [if (p_numberhh = 1): your gross monthly income/ if (p_numberhh ≠ 1): your household's combined gross monthly income]? So all income from e.g. work, pension, unemployment benefit, etc.?
 If you do not know exactly, please give your best estimate. Just fill in figures (whole euros), without points and commas.";income in June:;int;;;
34.03;inc_jul;income;grid;-;Income;"Wat was in de afgelopen vier maanden [if (p_aantalhh = 1): uw bruto maandinkomen/ if (p_aantalhh ≠ 1): het gezamenlijke bruto maandinkomen van uw huishouden]? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.
 Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.";inkomen in juli:;"What was in the past four months [if (p_numberhh = 1): your gross monthly income/ if (p_numberhh ≠ 1): your household's combined gross monthly income]? So all income from e.g. work, pension, unemployment benefit, etc.?
 If you do not know exactly, please give your best estimate. Just fill in figures (whole euros), without points and commas.";income in July:;int;;;
34.04;inc_aug;income;grid;-;Income;"Wat was in de afgelopen vier maanden [if (p_aantalhh = 1): uw bruto maandinkomen/ if (p_aantalhh ≠ 1): het gezamenlijke bruto maandinkomen van uw huishouden]? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.
 Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.";inkomen in augustus:;"What was in the past four months [if (p_numberhh = 1): your gross monthly income/ if (p_numberhh ≠ 1): your household's combined gross monthly income]? So all income from e.g. work, pension, unemployment benefit, etc.?
 If you do not know exactly, please give your best estimate. Just fill in figures (whole euros), without points and commas.";income in August:;int;;;
35.01;expinc2020_a_col2_a;expectedincome;grid;-;Expected Income;We willen graag weten wat u verwacht dat [if (p_aantalhh = 1): uw bruto jaarinkomen/ if (p_aantalhh ≠ 1): het gezamenlijke bruto jaarinkomen van uw huishouden] voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.;Voor dit jaar (dus ook voor de maanden januari tot en met augustus);We would like to know what you expect [if (p_numberhh = 1): your gross annual income/ if (p_numberhh ≠ 1): the combined gross annual income of your household] for 2020, 2021, and 2022 will be. So all income from, for example, work, pension, unemployment benefit, etc., will be your household gross annual income.;For this year (so also for the months January to August);int;;;
35.02;expinc2021_a_col2_a;expectedincome;grid;-;Expected Income;We willen graag weten wat u verwacht dat [if (p_aantalhh = 1): uw bruto jaarinkomen/ if (p_aantalhh ≠ 1): het gezamenlijke bruto jaarinkomen van uw huishouden] voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.;Voor het jaar 2021;We would like to know what you expect [if (p_numberhh = 1): your gross annual income/ if (p_numberhh ≠ 1): the combined gross annual income of your household] for 2020, 2021, and 2022 will be. So all income from, for example, work, pension, unemployment benefit, etc., will be your household gross annual income.;For the year 2021;int;;;
35.03;expinc2022_a_col2_a;expectedincome;grid;-;Expected Income;We willen graag weten wat u verwacht dat [if (p_aantalhh = 1): uw bruto jaarinkomen/ if (p_aantalhh ≠ 1): het gezamenlijke bruto jaarinkomen van uw huishouden] voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.;Voor het jaar 2022;We would like to know what you expect [if (p_numberhh = 1): your gross annual income/ if (p_numberhh ≠ 1): the combined gross annual income of your household] for 2020, 2021, and 2022 will be. So all income from, for example, work, pension, unemployment benefit, etc., will be your household gross annual income.;For the year 2022;int;;;
36.01;ExpUnempl_today2020;ExpUnempl_today;table;-;Expected Unemployment Today;"We willen graag weten wat u verwacht dat het werkloosheidscijfer in Nederland zal zijn. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. 
Wat zijn uw verwachtingen over het werkloosheidspercentage?";2020;"We would like to know what you expect the unemployment rate to be in the Netherlands. The unemployment rate in the period 2017-2019 was about 4% per year.
What are your expectations about the unemployment rate?";2020;Categorical;minder dan 3.0%|3.0% tot 6.0%|6.0% tot 9.0%|9.0% tot 12.0%|12.0% of hoger;less than 3.0%|3.0% to 6.0%|6.0% to 9.0%|9.0% to 12.0%|12.0% or greater;
