new_name;page;qid;id;layout;filter;group;question_dutch;subquestion_dutch;categories_dutch;question_english;subquestion_english;categories_english;ordered;type;nice_name_english
;30;q14;;grid;q13;Working Hours;Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Thuis vóór de pandemie;;On average, how many hours per week did you work at the workplace and from home in early March (or before the coronavirus affected your work)? And in the past seven days? If you always work from home, fill in all hours at 'from home'. Enter zero (0) if you never work at your workplace or at home.;Hours at from home before the pandemic;;;int;
;30;q14;;grid;q13;Working Hours;Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Werk de afgelopen zeven dagen;;On average, how many hours per week did you work at the workplace and from home in early March (or before the coronavirus affected your work)? And in the past seven days? If you always work from home, fill in all hours at 'from home'. Enter zero (0) if you never work at your workplace or at home.;Hours at workplace in the past seven days;;;int;
;30;q14;;grid;q13;Working Hours;Hoeveel uur per week werkte u begin maart (of voordat het coronavirus invloed had op uw werk) gemiddeld op uw werkplek en vanuit huis? En in de afgelopen zeven dagen?Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Thuis de afgelopen zeven dagen;;On average, how many hours per week did you work at the workplace and from home in early March (or before the coronavirus affected your work)? And in the past seven days? If you always work from home, fill in all hours at 'from home'. Enter zero (0) if you never work at your workplace or at home.;Hours at from home in the past seven days;;;int;
;31.1;q14header;;grid;q13;Working Hours Extended;Op DatumB hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Werk vóór de uitbraak van het coronavirus;;"On [date of March survey], you filled in the following hours of work. Please complete the last row, i.e., how many hours per week you have worked at the workplace and from home in the past seven days?

If you always work from home, fill in all hours at 'from home'.
Enter zero (0) if you never work at your workplace or at home.
";At work before the pandemic;;;int;
;31.2;q14header;;grid;q13;Working Hours Extended;Op DatumB hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Werk van ^DatumB_min7 tot en met ^DatumB_min1;;"On [date of March survey], you filled in the following hours of work. Please complete the last row, i.e., how many hours per week you have worked at the workplace and from home in the past seven days?

If you always work from home, fill in all hours at 'from home'.
Enter zero (0) if you never work at your workplace or at home.
";At work [date - 7, date];;;int;
;31.3;q14header;;grid;q13;Working Hours Extended;Op DatumB hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Werk in de afgelopen zeven dagen;;"On [date of March survey], you filled in the following hours of work. Please complete the last row, i.e., how many hours per week you have worked at the workplace and from home in the past seven days?

If you always work from home, fill in all hours at 'from home'.
Enter zero (0) if you never work at your workplace or at home.
";At work the past seven days;;;int;
;31.4;q14header;;grid;q13;Working Hours Extended;Op DatumB hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Thuis vóór de uitbraak van het coronavirus;;"On [date of March survey], you filled in the following hours of work. Please complete the last row, i.e., how many hours per week you have worked at the workplace and from home in the past seven days?

If you always work from home, fill in all hours at 'from home'.
Enter zero (0) if you never work at your workplace or at home.
";At home before the pandemic;;;int;
;31.5;q14header;;grid;q13;Working Hours Extended;Op DatumB hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Thuis van ^DatumB_min7 tot en met ^DatumB_min1;;"On [date of March survey], you filled in the following hours of work. Please complete the last row, i.e., how many hours per week you have worked at the workplace and from home in the past seven days?

If you always work from home, fill in all hours at 'from home'.
Enter zero (0) if you never work at your workplace or at home.
";At home [date - 7, date];;;int;
;31.6;q14header;;grid;q13;Working Hours Extended;Op DatumB hebt u laten weten hoeveel uur u toen werkte in die week. Hoeveel uur per week werkte u in de afgelopen zeven dagen op uw werkplek en vanuit huis? Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'. Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.;Thuis in de afgelopen zeven dagen;;"On [date of March survey], you filled in the following hours of work. Please complete the last row, i.e., how many hours per week you have worked at the workplace and from home in the past seven days?

If you always work from home, fill in all hours at 'from home'.
Enter zero (0) if you never work at your workplace or at home.
";At home the past seven days;;;int;
;32.1;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;"Minder zakelijke activiteit in het bedrijf waar ik werk vanwege economische
Omstandigheden";;Why are you not working right now? Multiple answers possible;Less business activity in the company where I work because of economic circumstances;;;bool;
;32.2;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;"Vanwege het besmettingsgevaar heeft de overheid besloten dat mijn werkplek voorlopig
moet sluiten";;Why are you not working right now? Multiple answers possible;Due to the risk of contamination, the government has decided that my workplace should close for the time being;;;bool;
;32.3;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar stelde mijn werkgever het werk vrijwillig uit;;Why are you not working right now? Multiple answers possible;Because of the risk of infection, my employer voluntarily postponed the work;;;bool;
;32.4;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik moet zorgen voor mensen (kinderen, ouders) die van mij afhankelijk zijn;;Why are you not working right now? Multiple answers possible;I have to take care of people (children, parents) who depend on me;;;bool;
;32.5;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;"Ik ga niet naar mijn werkplek omdat ik bang ben te worden besmet door het coronavirus
en ik kan het werk dat ik doe niet thuis doen";;Why are you not working right now? Multiple answers possible;I do not go to my workplace because I am afraid of being infected by the coronavirus and I cannot do the work I do at home;;;bool;
;32.6;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik was ziek / in quarantaine;;Why are you not working right now? Multiple answers possible;I was ill / quarantined;;;bool;
;32.7;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik heb vakantiedagen opgenomen;;Why are you not working right now? Multiple answers possible;I have taken vacation days;;;bool;
;32.8;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Ik werd ontslagen;;Why are you not working right now? Multiple answers possible;I got fired;;;bool;
;32.9;q15;;multi;q14header;Reasons for Not Working Among Employees;Waarom werkte u de afgelopen zeven dagen niet? Meerdere antwoorden mogelijk;Anders, namelijk:;;Why are you not working right now? Multiple answers possible;Otherwise, namely:;;;bool;
;33.1;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;"Minder zakelijke activiteit in het bedrijf waar ik werk vanwege economische
Omstandigheden";;Why are you working less now? Multiple answers possible;"
Less business activity in the company where I work because of economic circumstances";;;bool;
;33.2;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar heeft de overheid besloten dat er voorlopig minder gewerkt moet worden op mijn werkplek;;Why are you working less now? Multiple answers possible;Due to the risk of contamination, the government has decided that less work must be done at my workplace for the time being;;;bool;
;33.3;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar heeft mijn werkgever vrijwillig besloten dat er minder gewerkt wordt;;Why are you working less now? Multiple answers possible;Because of the risk of contamination, my employer has voluntarily decided to work less;;;bool;
;33.4;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik moet zorgen voor mensen (kinderen, ouders) die van mij afhankelijk zijn;;Why are you working less now? Multiple answers possible;I have to take care of people (children, parents) who depend on me;;;bool;
;33.5;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik ga minder naar mijn werkplek omdat ik bang ben te worden besmet door het coronavirus;;Why are you working less now? Multiple answers possible;I go to my workplace less because I am afraid of being infected by the corona virus;;;bool;
;33.6;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik was ziek / in quarantaine;;Why are you working less now? Multiple answers possible;I was ill / quarantined;;;bool;
;33.7;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Ik heb vakantiedagen opgenomen;;Why are you working less now? Multiple answers possible;I have taken vacation days;;;bool;
;33.8;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Geen speciale reden, geen reden die te maken heeft met het coronavirus;;Why are you working less now? Multiple answers possible;No special reason, no reason related to the corona virus;;;bool;
;33.9;q16;;multi;q14header;Reasons for Working Less Among Employees;Waarom werkte u minder de afgelopen zeven dagen? Meerdere antwoorden mogelijk;Anders, namelijk:;;Why are you working less now? Multiple answers possible;Otherwise, namely:;;;bool;
;34.1;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Minder zakelijke activiteit in mijn bedrijf vanwege economische omstandigheden;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;Less business activity of my company because of economic conditions;;;bool;
;34.2;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar heeft de overheid besloten dat mijn bedrijf voorlopig moet sluiten;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;Because of the risk of infection, the government shut down my company for the time being.;;;bool;
;34.3;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Vanwege het besmettingsgevaar hebben we het bedrijf voorlopig gesloten;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;We closed the entire company for the time being due to the risk of contamination;;;bool;
;34.4;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Ik moet zorgen voor mensen (kinderen, ouders) die van mij afhankelijk zijn;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;I need to take care of people (children, parents) who depend on me;;;bool;
;34.5;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Ik was ziek / in quarantaine;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;I have been sick / quarantined.;;;bool;
;34.6;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Ik heb vakantiedagen opgenomen;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;I took vacation days.;;;bool;
;34.7;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Geen speciale reden, geen reden die te maken heeft met het coronavirus;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;"
No special reason, no reason related to the corona virus";;;bool;
;34.8;q17;;multi;q14header;Reasons for Working Not Or Less Among the Self-Employed;Waarom werkte u minder of helemaal niet in de afgelopen zeven dagen Meerdere antwoorden mogelijk;Anders, namelijk:;;Why did you work are you not working less or not at all in the past seven daysthe moment? Multiple answers possible;Otherwise, namely:;;;bool;
;35;cruciaal;;cat;q14header;Essential Profession Among Employed;Valt uw beroep onder de cruciale beroepsgroep?;;Ja, Nee;"
Does your job qualify to be an essential profession?";;Yes, No ;TRUE;Categorical;
;36;cruciaal_notempl;;cat;q14header;Essential Former Profession Among Unemployed;Valt het beroep dat u hebt uitgeoefend onder de cruciale beroepsgroep? Als u nooit gewerkt hebt, kunt u 'niet van toepassing' antwoorden.;;Ja, Nee, Weet ik niet/Niet van toepassing;"
Does your last job (if unemployed) to be an essential profession?";;Yes, No, I don’t know/Not applicable;TRUE;Categorical;
;37;income;inc_jan;grid;-;Income Last Three Months;Wat was in de afgelopen drie maanden het gezamenljke bruto maandinkomen van uw huishouden? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz. Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;inkomen in januari:;;"What was your household’s total monthly gross income such as earnings, business income, pensions, unemployment insurance payments, etc., before taxes in each of the past three months? If you do not know exactly, please give your best estimate.
";January;;;int;
;37;income;inc_feb;grid;-;Income Last Three Months;Wat was in de afgelopen drie maanden het gezamenljke bruto maandinkomen van uw huishouden? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz. Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;inkomen in februari:;;"What was your household’s total monthly gross income such as earnings, business income, pensions, unemployment insurance payments, etc., before taxes in each of the past three months? If you do not know exactly, please give your best estimate.
";February;;;int;
;37;income;inc_mrt;grid;-;Income Last Three Months;Wat was in de afgelopen drie maanden het gezamenljke bruto maandinkomen van uw huishouden? Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz. Als u het niet precies weet geeft u dan uw beste inschatting. Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;inkomen in maart:;;"What was your household’s total monthly gross income such as earnings, business income, pensions, unemployment insurance payments, etc., before taxes in each of the past three months? If you do not know exactly, please give your best estimate.
";March;;;int;
;38;expectedincome;expinc2020;grid;-;Expected Income Next Years;We willen graag weten wat u verwacht dat het gezamenljke bruto jaarinkomen van uw huishouden voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.  Geeft u aan wat u verwachtte dat het gezamenljke inkomen van uw huishouden zou zijn, vóórdat er sprake was van de uitbraak van het coronavirus. Dus, wat u verwacht dat het gezamenljke inkomen van uw huishouden zou zijn zonder de uitbraak van het coronavirus. Daarnaast wat u nu verwacht dat in deze jaren dat het inkomen zal  Zijn. Geeft u de verwachtingen van het gezamenlijke bruto jaarinkomen van uw huishouden met en zonder de uitbraak van het coronavirus.;Voor dit jaar (dus ook voor de maanden januari, februari en maart);Vóórdat er sprake was van de uitbraak van het coronavirus, Onder de omstandigheden van dit moment;"Besides your monthly income in the last three months, we are also interested in your expectations of your household’s total annual gross income this year and in the next two years before taxes. By household’s total annual gross income  for the years 2020, 2021, and 2022 we mean all income such as earnings, business income, pensions, unemployment insurance payments, etc., that your household members may have before taxes in these years. 

We will ask you two times about your household’s expected total annual gross income for these years. First, we would like to know what level of income you expected before there was a sign of the coronavirus pandemic, that is what you thought your household’s expected total annual gross income would have been without the coronavirus pandemic. Second, we would like to know what level of total gross household income you expect for each of the three years as of today, taking the coronavirus pandemic into account.

Please state your expected total annual gross household income without and with the coronavirus crisis here.";For the year 2020 (which includes the months that already passed);Before there was a sign of the the coronavirus pandemic, Under the current circumstances;;int;
;38;expectedincome;expinc2021;grid;-;Expected Income Next Years;We willen graag weten wat u verwacht dat het gezamenljke bruto jaarinkomen van uw huishouden voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.  Geeft u aan wat u verwachtte dat het gezamenljke inkomen van uw huishouden zou zijn, vóórdat er sprake was van de uitbraak van het coronavirus. Dus, wat u verwacht dat het gezamenljke inkomen van uw huishouden zou zijn zonder de uitbraak van het coronavirus. Daarnaast wat u nu verwacht dat in deze jaren dat het inkomen zal  Zijn. Geeft u de verwachtingen van het gezamenlijke bruto jaarinkomen van uw huishouden met en zonder de uitbraak van het coronavirus.;Voor het jaar 2021;Vóórdat er sprake was van de uitbraak van het coronavirus, Onder de omstandigheden van dit moment;"Besides your monthly income in the last three months, we are also interested in your expectations of your household’s total annual gross income this year and in the next two years before taxes. By household’s total annual gross income  for the years 2020, 2021, and 2022 we mean all income such as earnings, business income, pensions, unemployment insurance payments, etc., that your household members may have before taxes in these years. 

We will ask you two times about your household’s expected total annual gross income for these years. First, we would like to know what level of income you expected before there was a sign of the coronavirus pandemic, that is what you thought your household’s expected total annual gross income would have been without the coronavirus pandemic. Second, we would like to know what level of total gross household income you expect for each of the three years as of today, taking the coronavirus pandemic into account.

Please state your expected total annual gross household income without and with the coronavirus crisis here.";For the year 2021;Before there was a sign of the the coronavirus pandemic, Under the current circumstances;;int;
;38;expectedincome;expinc2022;grid;-;Expected Income Next Years;We willen graag weten wat u verwacht dat het gezamenljke bruto jaarinkomen van uw huishouden voor 2020, 2021, en 2022 zal zijn. Dus alle inkomsten uit bijvoorbeeld werk, pensioen, werkloosheidsuitkering enz.  Geeft u aan wat u verwachtte dat het gezamenljke inkomen van uw huishouden zou zijn, vóórdat er sprake was van de uitbraak van het coronavirus. Dus, wat u verwacht dat het gezamenljke inkomen van uw huishouden zou zijn zonder de uitbraak van het coronavirus. Daarnaast wat u nu verwacht dat in deze jaren dat het inkomen zal  Zijn. Geeft u de verwachtingen van het gezamenlijke bruto jaarinkomen van uw huishouden met en zonder de uitbraak van het coronavirus.;Voor het jaar 2022;Vóórdat er sprake was van de uitbraak van het coronavirus, Onder de omstandigheden van dit moment;"Besides your monthly income in the last three months, we are also interested in your expectations of your household’s total annual gross income this year and in the next two years before taxes. By household’s total annual gross income  for the years 2020, 2021, and 2022 we mean all income such as earnings, business income, pensions, unemployment insurance payments, etc., that your household members may have before taxes in these years. 

We will ask you two times about your household’s expected total annual gross income for these years. First, we would like to know what level of income you expected before there was a sign of the coronavirus pandemic, that is what you thought your household’s expected total annual gross income would have been without the coronavirus pandemic. Second, we would like to know what level of total gross household income you expect for each of the three years as of today, taking the coronavirus pandemic into account.

Please state your expected total annual gross household income without and with the coronavirus crisis here.";For the year 2022;Before there was a sign of the the coronavirus pandemic, Under the current circumstances;;int;
;39;ExpUnempl_before;ExpUnempl_before2020;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2020;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;"We are also interested in your expectations of the rate of unemployment in the Netherlands, and how the impact of the corona virus has affected your expectations. Specifically, we would like to know what you think the unemployment rate would have been without the coronavirus pandemic and what it will likely be now with the pandemic.  The unemployment rate measures how many people out of 100 who would like to work do not have a job. On average, the unemployment rate was around 4% for the years 2017-2019. 

First, we would like to know the unemployment rates you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2020;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;39;ExpUnempl_before;ExpUnempl_before2021;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2021;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;"We are also interested in your expectations of the rate of unemployment in the Netherlands, and how the impact of the corona virus has affected your expectations. Specifically, we would like to know what you think the unemployment rate would have been without the coronavirus pandemic and what it will likely be now with the pandemic.  The unemployment rate measures how many people out of 100 who would like to work do not have a job. On average, the unemployment rate was around 4% for the years 2017-2019. 

First, we would like to know the unemployment rates you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2021;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;39;ExpUnempl_before;ExpUnempl_before2021;table;-;Expected Unemployment Before;We willen graag weten wat u verwachtte dat het werkloosheidscijfer in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar. Eerst vragen we wat u vóórdat er sprak was van de uitbraak van het coronavirus verwachtte dat het werkloosheidspercentage zou worden in 2020, 2021 en 2022. Daarna vragen we u wat u nu verwacht dat het werkloosheidspercentage zal worden voor die jaren. Uw verwachtingen over het werkloosheidspercentage vóórdat er sprake was van de uitbraak van het coronavirus:;2022;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;"We are also interested in your expectations of the rate of unemployment in the Netherlands, and how the impact of the corona virus has affected your expectations. Specifically, we would like to know what you think the unemployment rate would have been without the coronavirus pandemic and what it will likely be now with the pandemic.  The unemployment rate measures how many people out of 100 who would like to work do not have a job. On average, the unemployment rate was around 4% for the years 2017-2019. 

First, we would like to know the unemployment rates you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2022;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2020;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2020;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;Second, we would like to know the unemployment rates that you expect for the years 2020, 2021, and 2022 as of today. Expectation as of today / with the coronavirus pandemic:;2020;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2021;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2021;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;Second, we would like to know the unemployment rates that you expect for the years 2020, 2021, and 2022 as of today. Expectation as of today / with the coronavirus pandemic:;2021;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;40;ExpUnempl_today;ExpUnempl_today2022;table;-;Expected Unemployment Today;"En wat zijn uw verwachtingen over het werkloosheidspercentage onder de
omstandigheden van dit moment:
(Het werkloosheidspercentage was in de periode 2017-2019 ongeveer 4% per jaar.)";2022;minder dan 3.0%, 3.0% tot 6.0%, 6.0% tot 9.0%, 9.0% tot 12.0%, 12.0% of hoger;Second, we would like to know the unemployment rates that you expect for the years 2020, 2021, and 2022 as of today. Expectation as of today / with the coronavirus pandemic:;2022;less than 3.0%, 3.0% to 6.0%, 6.0% to 9.0%, 9.0% to 12.0%, 12.0% or higher;TRUE;Categorical;
;41;ExpEcGrowth_before;ExpEcGr_before2020;table;-;Expected Economic Growth Before;"We willen graag weten wat u verwachtte dat de groei van de economie in Nederland zou zijn, en of de gevolgen van het coronavirus deze verwachting zal veranderen. De economische groei, dat wil zeggen, de verandering van de hoeveelheid goederen en diensten die Nederland kan gebruiken, was in de periode 2017-2019 ongeveer 2,5% per jaar.

Eerst vragen we wat u vóórdat er sprake was van de uitbraak van het coronavirus verwachtte dat de economische groei zou worden in 2020, 2021 en 2022.

Daarna vragen we u wat u nu verwacht dat de economische groei zal worden voor die jaren.

Uw verwachtingen over de economische groei vóórdat er sprake was van de uitbraak van het coronavirus:";2020;minder dan -4%, -4% tot -2%, -2% tot 0%, 0% tot 2%,  2% tot 4%,  4% of hoger;"We are interested in your expectations of the future development of the Dutch economy as measured by the real growth rates of gross domestic product (that is, net of inflation), and how the impact of the corona virus has affected your expectations. On average, the Dutch economy has grown by around 2.5% in the years 2017-2019. 

First, we would like to know the growth rates of the Dutch economy you expected for the years 2020, 2021, and 2022 before there was a sign of the coronavirus crisis. 
";2020;less than -4%, -4% to -2%, -2% to 0%, 0% to 2%, 2% to 4%, 4% or higher;TRUE;Categorical;
