Variable,Type,Topic,Reference Period Other Than Survey Period,Links Wave 1,Links Wave 2,Links Wave 3,Links Wave 4,Links Wave 5
hh_income_202003,int,Finances,202003.0, ,:ref:`🔗 <w2e-income>`, ,:ref:`🔗 <w4e-income>`, 
e_2020_hh_income_202002,int,Finances,202002.0, ,:ref:`🔗 <w2e-expectedincome>`, ,:ref:`🔗 <w4e-expectedincome>`, 
e_2021_hh_income_202002,int,Finances,202002.0, ,:ref:`🔗 <w2e-expectedincome>`, ,:ref:`🔗 <w4e-expectedincome>`, 
e_2022_hh_income_202002,int,Finances,202002.0, ,:ref:`🔗 <w2e-expectedincome>`, ,:ref:`🔗 <w4e-expectedincome>`, 
e_2020_hh_income,int,Finances, , ,:ref:`🔗 <w2e-expectedincome>`, ,:ref:`🔗 <w4e-expectedincome>`,:ref:`🔗 <w5e-expectedincome>`
e_2021_hh_income,int,Finances, , ,:ref:`🔗 <w2e-expectedincome>`, ,:ref:`🔗 <w4e-expectedincome>`,:ref:`🔗 <w5e-expectedincome>`
e_2022_hh_income,int,Finances, , ,:ref:`🔗 <w2e-expectedincome>`, ,:ref:`🔗 <w4e-expectedincome>`,:ref:`🔗 <w5e-expectedincome>`
e_2020_unemp_rate_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpUnempl_before>`, , , 
e_2021_unemp_rate_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpUnempl_before>`, , , 
e_2022_unemp_rate_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpUnempl_before>`, , , 
e_2020_unemp_rate,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpUnempl_today>`, , ,:ref:`🔗 <w5e-ExpUnempl_today>`
e_2021_unemp_rate,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpUnempl_today>`, , ,:ref:`🔗 <w5e-ExpUnempl_today>`
e_2022_unemp_rate,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpUnempl_today>`, , ,:ref:`🔗 <w5e-ExpUnempl_today>`
e_2020_gdp_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpEcGrowth_before>`, , , 
e_2021_gdp_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpEcGrowth_before>`, , , 
e_2022_gdp_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpEcGrowth_before>`, , , 
e_2020_gdp,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpEcGrowth_today>`, , ,:ref:`🔗 <w5e-ExpEcGrowth_today>`
e_2021_gdp,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpEcGrowth_today>`, , ,:ref:`🔗 <w5e-ExpEcGrowth_today>`
e_2022_gdp,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpEcGrowth_today>`, , ,:ref:`🔗 <w5e-ExpEcGrowth_today>`
e_2020_infl_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpInfl_before>`, , , 
e_2021_infl_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpInfl_before>`, , , 
e_2022_infl_202002,Ordered Categorical,Macro Expectations,202002.0, ,:ref:`🔗 <w2e-ExpInfl_before>`, , , 
e_2020_infl,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpInfl_today>`, , ,:ref:`🔗 <w5e-ExpInfl_today>`
e_2021_infl,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpInfl_today>`, , ,:ref:`🔗 <w5e-ExpInfl_today>`
e_2022_infl,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-ExpInfl_today>`, , ,:ref:`🔗 <w5e-ExpInfl_today>`
bought_or_sold_stocks,category,Macro Expectations, , ,:ref:`🔗 <w2e-StockTrading>`, , , 
amount_stocks_bought,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-Stock3>`, , , 
amount_stocks_sold,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-Stock4>`, , , 
amount_stocks_bought_merge,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-Stock5>`, , , 
amount_stocks_sold_merge,Ordered Categorical,Macro Expectations, , ,:ref:`🔗 <w2e-Stock6>`, , , 
nervous_month,Ordered Categorical,Mental Health, , , ,:ref:`🔗 <w3e-q30hd_maand>`,:ref:`🔗 <w4e-q30hd_maand>`,:ref:`🔗 <w5e-q30hd_maand>`
depressed_month,Ordered Categorical,Mental Health, , , ,:ref:`🔗 <w3e-q30hd_maand>`,:ref:`🔗 <w4e-q30hd_maand>`,:ref:`🔗 <w5e-q30hd_maand>`
calm_month,Ordered Categorical,Mental Health, , , ,:ref:`🔗 <w3e-q30hd_maand>`,:ref:`🔗 <w4e-q30hd_maand>`,:ref:`🔗 <w5e-q30hd_maand>`
gloomy_month,Ordered Categorical,Mental Health, , , ,:ref:`🔗 <w3e-q30hd_maand>`,:ref:`🔗 <w4e-q30hd_maand>`,:ref:`🔗 <w5e-q30hd_maand>`
happy_month,Ordered Categorical,Mental Health, , , ,:ref:`🔗 <w3e-q30hd_maand>`,:ref:`🔗 <w4e-q30hd_maand>`,:ref:`🔗 <w5e-q30hd_maand>`
health_comparison_6m,Ordered Categorical,Health Beliefs, , , ,:ref:`🔗 <w3e-SAH>`, , 
duration_restrictions_schools,Ordered Categorical,Expected Timespan, , , ,:ref:`🔗 <w3e-expectedduration>`, , 
duration_restrictions_cafes,Ordered Categorical,Expected Timespan, , , ,:ref:`🔗 <w3e-expectedduration>`, , 
duration_restrictions_holidays,Ordered Categorical,Expected Timespan, , , ,:ref:`🔗 <w3e-expectedduration>`, , 
duration_restrictions_econ,Ordered Categorical,Expected Timespan, , , ,:ref:`🔗 <w3e-expectedduration>`, , 
work_status,category,Employment, , , ,:ref:`🔗 <w3e-EmploymentStatus>`,:ref:`🔗 <w4e-EmploymentStatus>`,:ref:`🔗 <w5e-EmploymentStatus>`
day_off_leisure,Int,Employment, , , ,:ref:`🔗 <w3e-vacsick>`, ,:ref:`🔗 <w5e-vacsick>`
day_off_childcare,Int,Employment, , , ,:ref:`🔗 <w3e-vacsick>`, ,:ref:`🔗 <w5e-vacsick>`
day_off_other,Int,Employment, , , ,:ref:`🔗 <w3e-vacsick>`, ,:ref:`🔗 <w5e-vacsick>`
day_off_sick,Int,Employment, , , ,:ref:`🔗 <w3e-vacsick>`, ,:ref:`🔗 <w5e-vacsick>`
day_off_official,Int,Employment, , , ,:ref:`🔗 <w3e-vacsick>`, , 
work_perc_home,int,Employment, , , ,:ref:`🔗 <w3e-work_perc>`, , 
employer_application_now,category,Policies, , , ,:ref:`🔗 <w3e-q16a>`, ,:ref:`🔗 <w5e-q16a>`
employer_application_togs,category,Policies, , , ,:ref:`🔗 <w3e-q16b>`, , 
employer_application_deferral,category,Policies, , , ,:ref:`🔗 <w3e-q16c>`, , 
self_application_now,category,Policies, , , ,:ref:`🔗 <w3e-q17a>`, ,:ref:`🔗 <w5e-q17a>`
self_application_togs,category,Policies, , , ,:ref:`🔗 <w3e-q17b>`, , 
self_application_deferral,category,Policies, , , ,:ref:`🔗 <w3e-q17c>`, , 
self_application_tozo,category,Policies, , , ,:ref:`🔗 <w3e-q17d>`, ,:ref:`🔗 <w5e-q17d>`
self_grekening,category,Finances, , , ,:ref:`🔗 <w3e-q17e>`, , 
self_used_apa,category,Finances, , , ,:ref:`🔗 <w3e-q17f_header>`, , 
self_used_guarantee,category,Finances, , , ,:ref:`🔗 <w3e-q17f_header>`, , 
self_used_go,category,Finances, , , ,:ref:`🔗 <w3e-q17f_header>`, , 
self_used_qredits,category,Finances, , , ,:ref:`🔗 <w3e-q17f_header>`, , 
self_used_loan_fund,category,Finances, , , ,:ref:`🔗 <w3e-q17f_header>`, , 
change_empl,category,Finances, , , ,:ref:`🔗 <w3e-change_empl>`,:ref:`🔗 <w4e-change_empl>`,:ref:`🔗 <w5e-change_empl>`
change_selfempl,category,Finances, , , ,:ref:`🔗 <w3e-change_selfempl>`,:ref:`🔗 <w4e-change_selfempl>`,:ref:`🔗 <w5e-change_selfempl>`
change_unempl,category,Finances, , , , , ,:ref:`🔗 <w5e-change_unempl>`
job_before,bool,Employment, , , , , ,:ref:`🔗 <w5e-job_before>`
work_change_because_corona,bool,Finances, , , ,:ref:`🔗 <w3e-q2>`,:ref:`🔗 <w4e-q2>`, 
month_lost_job,Ordered Categorical,Finances, , , ,:ref:`🔗 <w3e-q4_header>`,:ref:`🔗 <w4e-q4_header>`, 
year_lost_job,object,Finances, , , ,:ref:`🔗 <w3e-q4_header>`,:ref:`🔗 <w4e-q4_header>`, 
workplace_pot_distance,Ordered Categorical,Employment, , , ,:ref:`🔗 <w3e-distance>`, , 
e_retirement_202002,Int,Finances,202002.0, , ,:ref:`🔗 <w3e-exp_pens_hd>`, , 
e_retirement,Int,Finances, , , ,:ref:`🔗 <w3e-exp_pens_hd>`, , 
retire_early_reason,category,Finances, , , ,:ref:`🔗 <w3e-pens_eerder>`, , 
retire_later_reason,category,Finances, , , ,:ref:`🔗 <w3e-pens_later>`, , 
p_year_employee_keep,int,Employment, , , ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_year_employee_keep_gov,int,Employment, , , ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_year_employee_new_job,int,Employment, , , ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_year_employee_unemployed,int,Employment, , , ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_year_employee_other,int,Employment, , , ,:ref:`🔗 <w3e-q26>`, ,:ref:`🔗 <w5e-q26>`
p_3m_selfempl_normal,int,Employment, ,:ref:`🔗 <w1e-q27header>`, ,:ref:`🔗 <w3e-q27header>`, ,:ref:`🔗 <w5e-q27header>`
p_3m_selfempl_fewer,int,Employment, ,:ref:`🔗 <w1e-q27header>`, ,:ref:`🔗 <w3e-q27header>`, ,:ref:`🔗 <w5e-q27header>`
p_3m_selfempl_helped_by_gov,int,Employment, ,:ref:`🔗 <w1e-q27header>`, ,:ref:`🔗 <w3e-q27header>`, ,:ref:`🔗 <w5e-q27header>`
p_3m_selfempl_shutdown,int,Employment, ,:ref:`🔗 <w1e-q27header>`, ,:ref:`🔗 <w3e-q27header>`, ,:ref:`🔗 <w5e-q27header>`
p_3m_selfempl_other,int,Employment, ,:ref:`🔗 <w1e-q27header>`, ,:ref:`🔗 <w3e-q27header>`, ,:ref:`🔗 <w5e-q27header>`
p_year_selfempl_normal,int,Employment, , , ,:ref:`🔗 <w3e-Q27header_1>`, ,:ref:`🔗 <w5e-Q27header_1>`
p_year_selfempl_fewer,int,Employment, , , ,:ref:`🔗 <w3e-Q27header_1>`, ,:ref:`🔗 <w5e-Q27header_1>`
p_year_selfempl_helped_by_gov,int,Employment, , , ,:ref:`🔗 <w3e-Q27header_1>`, ,:ref:`🔗 <w5e-Q27header_1>`
p_year_selfempl_shutdown,int,Employment, , , ,:ref:`🔗 <w3e-Q27header_1>`, ,:ref:`🔗 <w5e-Q27header_1>`
p_year_selfempl_other,int,Employment, , , ,:ref:`🔗 <w3e-Q27header_1>`, ,:ref:`🔗 <w5e-Q27header_1>`
p_3m_unemployed_job,int,Employment, , , ,:ref:`🔗 <w3e-q27header_unempl>`, ,:ref:`🔗 <w5e-q27header_unempl>`
p_3m_unemployed_educ,int,Employment, , , ,:ref:`🔗 <w3e-q27header_unempl>`, ,:ref:`🔗 <w5e-q27header_unempl>`
p_3m_unemployed_looking,int,Employment, , , ,:ref:`🔗 <w3e-q27header_unempl>`, ,:ref:`🔗 <w5e-q27header_unempl>`
p_3m_unemployed_not_looking,int,Employment, , , ,:ref:`🔗 <w3e-q27header_unempl>`, ,:ref:`🔗 <w5e-q27header_unempl>`
p_3m_unemployed_other,int,Employment, , , ,:ref:`🔗 <w3e-q27header_unempl>`, ,:ref:`🔗 <w5e-q27header_unempl>`
p_year_unemployed_job,int,Employment, , , , , ,:ref:`🔗 <w5e-q27header_unempl_1>`
p_year_unemployed_educ,int,Employment, , , , , ,:ref:`🔗 <w5e-q27header_unempl_1>`
p_year_unemployed_looking,int,Employment, , , , , ,:ref:`🔗 <w5e-q27header_unempl_1>`
p_year_unemployed_not_looking,int,Employment, , , , , ,:ref:`🔗 <w5e-q27header_unempl_1>`
p_year_unemployed_other,int,Employment, , , , , ,:ref:`🔗 <w5e-q27header_unempl_1>`
e_pension_cut,Ordered Categorical,Finances, , , ,:ref:`🔗 <w3e-pens_gekort>`, , 
e_amount_pension_cut,int,Finances, , , ,:ref:`🔗 <w3e-korting>`, , 
activities_give_money,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_save_more,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_more_care,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_less_care,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_postpone_doctor,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_postpone_hospital,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_postpone_pickup_meds,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_less_physio,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_move_less,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_eat_healthy,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
activities_lonely,Ordered Categorical,Behavior, , , ,:ref:`🔗 <w3e-es4_uitspraken>`, , 
outside_no,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_garden,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_shopping,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_purchases,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_detour,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_contacts,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_care,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_volunteering,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_medical,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_other,bool,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
outside_other_str,object,Behavior, , , ,:ref:`🔗 <w3e-es4_doelen>`, , 
have_children_prim_school,bool,Background, , , ,:ref:`🔗 <w3e-v0>`,:ref:`🔗 <w4e-v0>`, 
have_children_sec_school,bool,Background, , , ,:ref:`🔗 <w3e-v0>`,:ref:`🔗 <w4e-v0>`, 
no_children_prim_sec_school,bool,Background, , , ,:ref:`🔗 <w3e-v0>`,:ref:`🔗 <w4e-v0>`, 
amount_children_primary,Int,Background, , , ,:ref:`🔗 <w3e-v0a>`,:ref:`🔗 <w4e-v0a>`, 
amount_children_sec,Int,Background, , , ,:ref:`🔗 <w3e-v0b>`,:ref:`🔗 <w4e-v0b>`, 
first_primary_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
first_primary_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
second_primary_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
second_primary_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
third_primary_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
third_primary_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
fourth_primary_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
fourth_primary_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
fifth_primary_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
fifth_primary_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_bo>`,:ref:`🔗 <w4e-v1_bo>`, 
first_sec_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
first_sec_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
first_sec_level,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
first_sec_class,Ordered Categorical,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
second_sec_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
second_sec_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
second_sec_level,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
second_sec_class,Ordered Categorical,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
third_sec_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
third_sec_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
third_sec_level,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
third_sec_class,Ordered Categorical,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
fourth_sec_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
fourth_sec_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
fourth_sec_level,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
fourth_sec_class,Ordered Categorical,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
fifth_sec_gender,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
fifth_sec_birth,Int,Background, , , ,:ref:`🔗 <w3e-v1_vo>`,:ref:`🔗 <w4e-v1_vo>`, 
fifth_sec_level,category,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
fifth_sec_class,Ordered Categorical,Background, , , ,:ref:`🔗 <w3e-v1_vo>`, , 
hrs_prim_child1_school,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_digitals,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_study_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_study_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_reading_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_reading_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_play,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_play_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_chores,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_rest,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_other,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_school_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_digitals_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_study_alone_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_study_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_reading_alone_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_reading_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_play_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_play_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_chores_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_rest_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child1_other_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_school,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_digitals,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_study_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_study_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_reading_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_reading_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_play,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_play_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_chores,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_rest,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_other,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_school_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_digitals_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_study_alone_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_study_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_reading_alone_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_reading_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_play_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_play_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_chores_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_rest_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child2_other_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_school,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_digitals,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_study_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_study_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_reading_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_reading_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_play,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_play_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_chores,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_rest,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_other,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_school_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_digitals_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_study_alone_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_study_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_reading_alone_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_reading_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_play_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_play_adult_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_chores_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_rest_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child3_other_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_school,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_digitals,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_study_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_study_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_reading_alone,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_reading_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_play,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_play_adult,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_chores,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_rest,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_other,Int,Childcare, , , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_school_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
hrs_prim_child4_digitals_202002,Int,Childcare,202002.0, , ,:ref:`🔗 <w3e-v2_bokind>`, , 
