page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;type;categories_dutch;categories_english;new_name;subquestion_english
22.02;vacsick2;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de [if _current_date<2020-12-21: afgelopen zeven dagen/ if _current_date>=2020-12-21: week van 14-20 december], hoeveel dagen hebt u...

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";een vrije dag opgenomen om voor de kinderen te zorgen;"In the [if _current_date<2020-12-21: past seven days/ if _current_date>=2020-12-21: week of December 14-20], how many days have you...

Round to whole days (e.g., half a day = 1 day).
Enter zero (0) if you did not take a day off.";Integer;;;day_off_childcare;taken a day off to take care of the children
22.03;vacsick3;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de [if _current_date<2020-12-21: afgelopen zeven dagen/ if _current_date>=2020-12-21: week van 14-20 december], hoeveel dagen hebt u...

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";een vrije dag opgenomen voor een andere reden;"In the [if _current_date<2020-12-21: past seven days/ if _current_date>=2020-12-21: week of December 14-20], how many days have you...

Round to whole days (e.g., half a day = 1 day).
Enter zero (0) if you did not take a day off.";Integer;;;day_off_other;took a day off for another reason
22.04;vacsick4;vacsick;grid;EmploymentStatus;Vacation & Sickness;"In de [if _current_date<2020-12-21: afgelopen zeven dagen/ if _current_date>=2020-12-21: week van 14-20 december], hoeveel dagen hebt u...

Rond af op hele dagen (bv. een halve dag = 1 dag).
Vult u nul (0) in als u geen vrije dag hebt opgenomen.";zich ziek gemeld;"In the [if _current_date<2020-12-21: past seven days/ if _current_date>=2020-12-21: week of December 14-20], how many days have you...

Round to whole days (e.g., half a day = 1 day).
Enter zero (0) if you did not take a day off.";Integer;;;day_off_sick;Called in sick
23.01;worked_past_3m;worked_past_3m;cat;EmploymentStatus;Worked Past Three Months;Hebt u tussen september en november op enig moment betaald werk verricht?;;Did you engage in paid work at any time between September and November?;Boolean;Ja,Nee;Yes,No;worked_past_3m;
24.01;lockdown_a_werk;lockdown;grid;EmploymentStatus;Work During Lockdown;"Hoeveel uur per week werkte u in de volgende perioden op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Per week voor het ingaan van de gedeeltelijke lockdown (periode midden september), Op uw werkplek;"How many hours per week did you work at your workplace and from home during the following periods?

If you always work at home, enter all hours under ""from home.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_workplace_september;Per week before the partial lockdown takes effect (period mid-September), At your workplace
24.02;lockdown_b_werk;lockdown;grid;EmploymentStatus;Work During Lockdown;"Hoeveel uur per week werkte u in de volgende perioden op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Per week na de invoering van de gedeeltelijke lockdown op 13 oktober (periode eind oktober na de herfstvakantie), Op uw werkplek;"How many hours per week did you work at your workplace and from home during the following periods?

If you always work at home, enter all hours under ""from home.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_workplace_october;Per week after the partial lockdown takes effect on October 13 (period in late October after the fall break), At your workplace
24.03;lockdown_c_werk;lockdown;grid;EmploymentStatus;Work During Lockdown;"Hoeveel uur per week werkte u in de volgende perioden op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Per week na het aanscherpen van de gedeeltelijke lockdown op 4 november (periode midden november), Op uw werkplek;"How many hours per week did you work at your workplace and from home during the following periods?

If you always work at home, enter all hours under ""from home.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_workplace_november;Per week after the tightening of the partial lockdown on November 4 (period mid-November), At your workplace
24.05;lockdown_a_thuis;lockdown;grid;EmploymentStatus;Work During Lockdown;"Hoeveel uur per week werkte u in de volgende perioden op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Per week voor het ingaan van de gedeeltelijke lockdown (periode midden september), Vanuit huis;"How many hours per week did you work at your workplace and from home during the following periods?

If you always work at home, enter all hours under ""from home.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_home_september;By week before the partial lockdown takes effect (period mid-September), From home
24.06;lockdown_b_thuis;lockdown;grid;EmploymentStatus;Work During Lockdown;"Hoeveel uur per week werkte u in de volgende perioden op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Per week na de invoering van de gedeeltelijke lockdown op 13 oktober (periode eind oktober na de herfstvakantie), Vanuit huis;"How many hours per week did you work at your workplace and from home during the following periods?

If you always work at home, enter all hours under ""from home.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_home_october;Per week after the partial lockdown is implemented on October 13 (period late October after fall break), From home
24.07;lockdown_c_thuis;lockdown;grid;EmploymentStatus;Work During Lockdown;"Hoeveel uur per week werkte u in de volgende perioden op uw werkplek en vanuit huis?

Als u altijd thuis werkt, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Per week na het aanscherpen van de gedeeltelijke lockdown op 4 november (periode midden november), Vanuit huis;"How many hours per week did you work at your workplace and from home during the following periods?

If you always work at home, enter all hours under ""from home.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_home_november;Per week after the tightening of the partial lockdown on November 4 (period mid-November), From home
25.01;work_perc;work_perc;open;EmploymentStatus;Percentage of Work from Home;Hoeveel procent van uw normale werkzaamheden kunt u ook met thuiswerken doen?;;What percentage of your normal work can you do even with working from home?;Integer;;;work_perc_home;
26.01;uren_pre_corona_werk;uren_corona;grid;EmploymentStatus;Work from Home;"We vragen u hieronder naar drie verschillende situaties:
1. Gemiddeld hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?

Stel dat u na de coronacrisis net zoveel uren per week werkt als voor de coronacrisis.

2. Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren thuis?
3. Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren thuis?

Als u van plan bent altijd thuis te werken, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?, Op uw werkplek;"We ask you about three different situations below:
1. On average, how many hours per week did you work at your workplace and from home before the corona crisis?

Suppose you work the same number of hours per week after the corona crisis as you did before the corona crisis.

2. After the corona crisis, how many hours per week do you expect to work at your workplace and How many hours at home?
3. How many hours per week would you like to work at your workplace after the corona crisis and How many hours at home?

If you plan to always work at home, fill in all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_workplace_pre_corona;How many hours per week did you work at your workplace and from home before the corona crisis?, At your workplace
26.02;uren_na_corona1_werk;uren_corona;grid;EmploymentStatus;Work from Home;"We vragen u hieronder naar drie verschillende situaties:
1. Gemiddeld hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?

Stel dat u na de coronacrisis net zoveel uren per week werkt als voor de coronacrisis.

2. Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren thuis?
3. Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren thuis?

Als u van plan bent altijd thuis te werken, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren vanuit huis?, Op uw werkplek;"We ask you about three different situations below:
1. On average, how many hours per week did you work at your workplace and from home before the corona crisis?

Suppose you work the same number of hours per week after the corona crisis as you did before the corona crisis.

2. After the corona crisis, how many hours per week do you expect to work at your workplace and How many hours at home?
3. How many hours per week would you like to work at your workplace after the corona crisis and How many hours at home?

If you plan to always work at home, fill in all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_workplace_expected_post;After the corona crisis, how many hours per week do you expect to work at your workplace and how many hours from home?, At your workplace
26.03;uren_na_corona2_werk;uren_corona;grid;EmploymentStatus;Work from Home;"We vragen u hieronder naar drie verschillende situaties:
1. Gemiddeld hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?

Stel dat u na de coronacrisis net zoveel uren per week werkt als voor de coronacrisis.

2. Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren thuis?
3. Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren thuis?

Als u van plan bent altijd thuis te werken, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren vanuit huis?, Op uw werkplek;"We ask you about three different situations below:
1. On average, how many hours per week did you work at your workplace and from home before the corona crisis?

Suppose you work the same number of hours per week after the corona crisis as you did before the corona crisis.

2. After the corona crisis, how many hours per week do you expect to work at your workplace and How many hours at home?
3. How many hours per week would you like to work at your workplace after the corona crisis and How many hours at home?

If you plan to always work at home, fill in all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_workplace_preferred_post;After the corona crisis, how many hours per week would you like to work at your workplace and how many hours from home?, At your workplace
26.04;uren_pre_corona_thuis;uren_corona;grid;EmploymentStatus;Work from Home;"We vragen u hieronder naar drie verschillende situaties:
1. Gemiddeld hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?

Stel dat u na de coronacrisis net zoveel uren per week werkt als voor de coronacrisis.

2. Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren thuis?
3. Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren thuis?

Als u van plan bent altijd thuis te werken, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?, Vanuit huis;"We ask you about three different situations below:
1. On average, how many hours per week did you work at your workplace and from home before the corona crisis?

Suppose you work the same number of hours per week after the corona crisis as you did before the corona crisis.

2. After the corona crisis, how many hours per week do you expect to work at your workplace and How many hours at home?
3. How many hours per week would you like to work at your workplace after the corona crisis and How many hours at home?

If you plan to always work at home, fill in all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_home_pre_corona;How many hours per week did you work at your workplace and from home before the corona crisis?, From home
26.05;uren_na_corona1_thuis;uren_corona;grid;EmploymentStatus;Work from Home;"We vragen u hieronder naar drie verschillende situaties:
1. Gemiddeld hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?

Stel dat u na de coronacrisis net zoveel uren per week werkt als voor de coronacrisis.

2. Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren thuis?
3. Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren thuis?

Als u van plan bent altijd thuis te werken, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren vanuit huis?, Vanuit huis;"We ask you about three different situations below:
1. On average, how many hours per week did you work at your workplace and from home before the corona crisis?

Suppose you work the same number of hours per week after the corona crisis as you did before the corona crisis.

2. After the corona crisis, how many hours per week do you expect to work at your workplace and How many hours at home?
3. How many hours per week would you like to work at your workplace after the corona crisis and How many hours at home?

If you plan to always work at home, fill in all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_home_expected_post;After the corona crisis, how many hours per week do you expect to work at your workplace and how many hours from home?, From home
26.06;uren_na_corona2_thuis;uren_corona;grid;EmploymentStatus;Work from Home;"We vragen u hieronder naar drie verschillende situaties:
1. Gemiddeld hoeveel uren per week werkte u op uw werkplek en vanuit huis vóór de coronacrisis?

Stel dat u na de coronacrisis net zoveel uren per week werkt als voor de coronacrisis.

2. Hoeveel uren per week verwacht u na de coronacrisis op uw werkplek te werken en hoeveel uren thuis?
3. Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren thuis?

Als u van plan bent altijd thuis te werken, vult u alle uren in bij 'vanuit huis'.
Vult u nul (0) in als u nooit op uw werkplek of thuis werkt.";Hoeveel uren per week zou u na de coronacrisis op uw werkplek willen werken en hoeveel uren vanuit huis?, Vanuit huis;"We ask you about three different situations below:
1. On average, how many hours per week did you work at your workplace and from home before the corona crisis?

Suppose you work the same number of hours per week after the corona crisis as you did before the corona crisis.

2. After the corona crisis, how many hours per week do you expect to work at your workplace and How many hours at home?
3. How many hours per week would you like to work at your workplace after the corona crisis and How many hours at home?

If you plan to always work at home, fill in all hours under 'from home'.
Enter zero (0) if you never work at your workplace or at home.";Integer;;;hours_home_preferred_post;After the corona crisis, how many hours per week would you like to work at your workplace and how many hours from home?, From home
27.01;JobSearch;JobSearch;cat;EmploymentStatus;Unemployed – Looking for Different Profession;Bent u op zoek naar (ander) werk?;;Are you looking for (other) work?;Boolean;Ja,Nee;Yes,No;seeking_job;
28.01;q26a;q26;grid;EmploymentStatus;Expectations March among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik behoud mijn baan omdat mijn werkgever / het bedrijf financieel niet sterk wordt geraakt door het coronavirus of financieel gezond genoeg is om de lonen te kunnen blijven betalen;"How likely do you think the following situations are to occur in March?

You can answer these questions on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_2m_employee_keep;I keep my job because my employer / company is not strongly affected financially by the coronavirus or is financially healthy enough to continue paying wages
28.02;q26b;q26;grid;EmploymentStatus;Expectations March among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik behoud mijn baan omdat de overheid hulp biedt aan mijn werkgever / het bedrijf (bv. door een tegemoetkoming in de loonkosten);"How likely do you think the following situations are to occur in March?

You can answer these questions on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_2m_employee_keep_gov;I keep my job because the government offers help to my employer / company (e.g. by meeting the costs of wages)
28.03;q26c;q26;grid;EmploymentStatus;Expectations March among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik heb een nieuwe baan bij een andere werkgever;"How likely do you think the following situations are to occur in March?

You can answer these questions on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_2m_employee_new_job;I have a new job with another employer
28.04;q26d;q26;grid;EmploymentStatus;Expectations March among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik ben werkloos / behoor niet meer tot de beroepsbevolking / gepensioneerd / ik heb een arbeidsongeschiktheidspensioen;"How likely do you think the following situations are to occur in March?

You can answer these questions on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_2m_employee_unemployed;I am unemployed / no longer part of the labour force / retired / have a disability pension
28.05;q26e;q26;grid;EmploymentStatus;Expectations March among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Iets anders gebeurt;"How likely do you think the following situations are to occur in March?

You can answer these questions on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_2m_employee_other;Something else happens
29.01;q26a_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik behoud mijn baan omdat mijn werkgever / het bedrijf financieel niet sterk wordt geraakt door het coronavirus of financieel gezond genoeg is om de lonen te kunnen blijven betalen;"How likely do you think the following situations are to occur one year from now?

You can answer these questions on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_employee_keep;I keep my job because my employer / company is not strongly affected financially by the coronavirus or is financially healthy enough to continue paying wages
29.02;q26b_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik behoud mijn baan omdat de overheid hulp biedt aan mijn werkgever / het bedrijf (bv. door een tegemoetkoming in de loonkosten);"How likely do you think the following situations are to occur one year from now?

You can answer these questions on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_employee_keep_gov;I keep my job because the government provides assistance to my employer / company (e.g., by covering labor costs)
29.03;q26c_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik heb een nieuwe baan bij een andere werkgever;"How likely do you think the following situations are to occur one year from now?

You can answer these questions on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_employee_new_job;I have a new job with another employer
29.04;q26d_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100."; Ik ben werkloos / behoor niet meer tot de beroepsbevolking / gepensioneerd / ik heb een arbeidsongeschiktheidspensioen;"How likely do you think the following situations are to occur one year from now?

You can answer these questions on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_employee_unemployed; I am unemployed / no longer part of the labour force / retired / have a disability pension
29.05;q26e_1;q26header_1;grid;EmploymentStatus;Expectations Next Year among Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Iets anders gebeurt;"How likely do you think the following situations are to occur one year from now?

You can answer these questions on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_employee_other;Something else is happening
30.01;q27a;q27;grid;EmploymentStatus;Expectations March among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis, maar zal geen steun nodig hebben van de overheid;"How likely do you think the following situations are to occur in March?

You can answer this question on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_3m_selfempl_normal;My company will have less work than before the coronavirus crisis, but will not need government support
30.02;q27a;q27;grid;EmploymentStatus;Expectations March among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis, maar zal geen steun nodig hebben van de overheid;"How likely do you think the following situations are to occur in March?

You can answer this question on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_3m_selfempl_normal;My company will have less work than before the coronavirus crisis, but will not need government support
30.03;q27c;q27;grid;EmploymentStatus;Expectations March among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal alleen overleven door steun van de overheid (bv. door de versoepeling uitstel van belastingbetaling of de aanvullende inkomensondersteuning voor levensonderhoud);"How likely do you think the following situations are to occur in March?

You can answer this question on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_3m_selfempl_helped_by_gov;My business will have less work than before the coronavirus crisis and will survive only because of government support (e.g., through the relaxation of tax payment deferral or supplemental income support for living expenses)
30.04;q27d;q27;grid;EmploymentStatus;Expectations March among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal moeten sluiten;"How likely do you think the following situations are to occur in March?

You can answer this question on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_3m_selfempl_shutdown;My business will have less work than before the coronavirus crisis and will have to close
30.05;q27e;q27;grid;EmploymentStatus;Expectations March among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Iets anders gebeurt;"How likely do you think the following situations are to occur in March?

You can answer this question on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_3m_selfempl_other;Something else is happening
31.01;q27a_1;q27_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf gaat gewoon verder als eerst of het gaat zelfs beter dan voor de coronavirus crisis;"How likely do you think the following situations are to occur one year from now?

You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_selfempl_normal;My business will continue as before or even do better than before the coronavirus crisis
31.02;q27b_1;q27_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis, maar zal geen steun nodig hebben van de overheid;"How likely do you think the following situations are to occur one year from now?

You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_selfempl_fewer;My company will have less work than before the coronavirus crisis, but will not need support from the government
31.03;q27c_1;q27_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal alleen overleven door steun van de overheid (bv. door de versoepeling uitstel van belastingbetaling of de aanvullende inkomensondersteuning voor levensonderhoud);"How likely do you think the following situations are to occur one year from now?

You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_selfempl_helped_by_gov;My business will have less work than before the coronavirus crisis and will survive only because of government support (e.g., through the relaxation of tax payment deferral or supplemental income support for living expenses)
31.04;q27d_1;q27_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Mijn bedrijf zal minder werkzaamheden hebben dan voor de coronavirus crisis en zal moeten sluiten;"How likely do you think the following situations are to occur one year from now?

You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_selfempl_shutdown;My business will have less work than before the coronavirus crisis and will have to close
31.05;q27e_1;q27_1;grid;EmploymentStatus;Expectations Next Year among Self-Employed;"Hoe groot is volgens u de kans dat de volgende situaties zich een jaar vanaf nu voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Iets anders gebeurt;"How likely do you think the following situations are to occur one year from now?

You can answer this question on a scale of 0 to 100, where 0 means definitely not and 100 means definitely yes. Note that your answers must add up to 100.";Integer;;;p_year_selfempl_other;Something else is happening
32.01;q27a_ex;q27_ex;grid;EmploymentStatus;Expectations March among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik heb een nieuwe baan gevonden;"How likely do you think the following situations are to occur in March?

You can answer this question on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_3m_unemployed_job;I have found a new job
32.02;q27b_ex;q27_ex;grid;EmploymentStatus;Expectations March among Unemployed;"Hoe groot is volgens u de kans dat de volgende situaties zich in maart voordoen?

U kunt deze vraag beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel. Let op, uw antwoorden moeten optellen tot 100.";Ik ben bezig met een voltijds opleiding of vervolgopleiding;"How likely do you think the following situations are to occur in March?

You can answer this question on a scale of 0 to 100, where 0 represents definitely not and 100 represents definitely yes. Note that your answers must add up to 100.";Integer;;;p_3m_unemployed_educ;I am working on a full-time education or continuing education course
