page;id;qid;layout;filter;group;question_dutch;subquestion_dutch;question_english;subquestion_english;type;categories_dutch;categories_english
21.1;beliefs7a;beliefs7;grid;EmploymentStatus;Employed – Beliefs Job Seach: Any Job;Stel dat u morgen werkloos wordt en een baan (welke baan dan ook) zoekt. Hoe groot is de kans dat u een baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende twee maanden:;Suppose you become unemployed tomorrow and are looking for the same kind of job that you have now. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next two months:;Int;;
21.2;beliefs7b;beliefs7;grid;EmploymentStatus;Employed – Beliefs Job Seach: Any Job;Stel dat u morgen werkloos wordt en een baan (welke baan dan ook) zoekt. Hoe groot is de kans dat u een baan vindt in de komende twee maanden? En in de komende zes maanden?U kunt deze vragen beantwoorden op een schaal van 0 tot en met 100, waarbij 0 staat voor zeker niet en 100 voor zeker wel.;in de komende zes maanden:;Suppose you become unemployed tomorrow and are looking for the same kind of job that you have now. How likely are you to find such a job in the next two months? And over the next six months, you can answer these questions on a scale from 0 to 100, with 0 representing certainly not and 100 representing certainly.;in the next six months:;Int;;
22;beliefs8;beliefs8;table;EmploymentStatus;Employed – Beliefs Job Search Compared to Other Sectors;Hoe makkelijk is het, denkt u, om een zelfde soort baan te vinden zoals u nu hebt in vergelijking met het vinden van een baan in andere economische sectoren?;;How easy do you think it is to find the same kind of job you have now compared to finding a job in other economic sectors?;;Categorical;veel makkelijker dan in andere soort banen, een beetje makkelijker dan in andere soort banen, niet makkelijker en niet moeilijker dan in andere banen, een beetje moeilijker dan in andere soort banen, veel moeilijker dan in andere soort banen;much easier than in other types of jobs a little easier than other jobs, not easier and not more difficult than in other jobs, a little harder than in other jobs, much more difficult than in other jobs
23;beliefs9;beliefs9;table;EmploymentStatus;Employed – Beliefs Influence of CoViD-19 on Job Search;Heeft de uitbraak van het corona virus volgens u gevolgen voor het vinden van een zelfde soort baan als dat u nu hebt?;;Do you think the corona virus outbreak will affect finding the same kind of job you have now?;;Categorical;het is veel makkelijker om een baan te vinden, het is een beetje makkelijker om een baan te vinden, het is niet makkelijker en niet moeilijker, het is een beetje moeilijker om een baan te vinden, het is veel moeilijker om een baan te vinden;it is much easier to find a job, it's a little easier to find a job, it's not easier, not harder, it's a little harder to find a job, it is much harder to find a job
24;beliefs10;beliefs10;table;EmploymentStatus;Employed – Beliefs Pay in Future Job;Als u in de komende twee maanden een zelfde baan met hetzelfde aantal uren vindt zoals u die nu hebt, denkt u dat u dan hetzelfde, of juist minder of meer salaris zou krijgen dan in de baan die u nu hebt?;;If you find the same job with the same number of hours as you do in the next two months, do you think you would receive the same or less or more salary than you do in the current job?;;Categorical;hetzelfde salaris, minder salaris, meer salaris, ik weet het niet;same salary, less salary, more salary, I do not know
25;ws058;ws058;cat;EmploymentStatus;Job Search;Bent u op dit moment op zoek naar een (andere) baan?;;Are you currently looking for a (different) job?;;Categorical;ja  ik ben serieus op zoek, ja  ik denk er wel over, nee ik heb al een andere baan, gevonden maar ben nog niet begonnen, nee ik ben niet op zoek;yes i am seriously looking, yes I think talking about, no I already have another job, found but have not started yet, no I'm not looking
26;extra;extra;cat;ws058;Job Search: What kind;Ben u op zoek naar een zelfde soort baan zoals u eerder had of een andere soort baan?;;Are you looking for the same type of job as you previously had or a different type of job?;;Categorical;een zelfde soort baan, een andere soort baan, een zelfde of andere soort baan;the same type of job, a different kind of job, the same or a different type of path
27.1;NotLooking__1;NotLooking;multi;ws058;Reasons  No Job Search;Om welke reden zoekt u geen andere baan?Meerdere antwoorden mogelijk.;Ik zal (waarschijnlijk) mijn baan niet verliezen in de nabije toekomst;For what reason are you not looking for another job? Multiple answers possible.;I will (probably) not lose my job in the near future;bool;;
27.2;NotLooking__2;NotLooking;multi;ws058;Reasons  No Job Search;Om welke reden zoekt u geen andere baan?Meerdere antwoorden mogelijk.;Ik ben tevreden met de baan die ik nu heb en ik wil niet van baan veranderen;For what reason are you not looking for another job? Multiple answers possible.;I am satisfied with the job I have now and I do not want to change jobs;bool;;
27.3;NotLooking__3;NotLooking;multi;ws058;Reasons  No Job Search;Om welke reden zoekt u geen andere baan?Meerdere antwoorden mogelijk.;Ik denk niet dat ik een andere baan kan vinden vanwege de invloed van het coronavirus op de economie;For what reason are you not looking for another job? Multiple answers possible.;I do not think I can find another job because of the influence of the coronavirus on the economy;bool;;
27.4;NotLooking__4;NotLooking;multi;ws058;Reasons  No Job Search;Om welke reden zoekt u geen andere baan?Meerdere antwoorden mogelijk.;Ik denk niet dat ik een andere baan kan vinden om andere redenen;For what reason are you not looking for another job? Multiple answers possible.;I do not think I can find another job for other reasons;bool;;
27.5;NotLooking__5;NotLooking;multi;ws058;Reasons No Job Search;Om welke reden zoekt u geen andere baan?Meerdere antwoorden mogelijk.;Een andere reden, namelijk...;For what reason are you not looking for another job? Multiple answers possible.;Another reason, namely ...;bool;;
28.1;ws059__1;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Ik volg een opleiding/studie;For what reason (s) are you not looking for a job? Multiple answers possible.;I follow a training / study;bool;;
28.2;ws059__2;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Ik doe het huishouden/zorg voor gezin;For what reason (s) are you not looking for a job? Multiple answers possible.;I do the housework / caring for family;bool;;
28.3;ws059__3;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Ik ben (gedeeltelijk) arbeidsongeschikt;For what reason (s) are you not looking for a job? Multiple answers possible.;I (partially) occupationally;bool;;
28.4;ws059__4;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Ik rentenier;For what reason (s) are you not looking for a job? Multiple answers possible.;I rentier;bool;;
28.5;ws059__5;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Ik ben met (vervroegd) pensioen;For what reason (s) are you not looking for a job? Multiple answers possible.;I (early) retirement;bool;;
28.6;ws059__6;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Ik denk niet dat ik een andere baan kan vinden vanwege de invloed van het coronavirus op de economie;For what reason (s) are you not looking for a job? Multiple answers possible.;I do not think I can find another job because of the influence of the coronavirus on the economy;bool;;
28.7;ws059__7;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Ik denk niet dat ik een andere baan kan vinden om andere redenen;For what reason (s) are you not looking for a job? Multiple answers possible.;I do not think I can find another job for other reasons;bool;;
28.8;ws059__8;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Door het coronavirus is het niet veilig voor mij om te werken;For what reason (s) are you not looking for a job? Multiple answers possible.;The coronavirus is not safe for me to work;bool;;
28.9;ws059__9;ws059;multi;ws058;Reasons No Job Search Among Not (Self-) Employed;Om wat voor reden(en) zoekt u geen baan? Meerdere antwoorden mogelijk.;Een andere reden, namelijk...;For what reason (s) are you not looking for a job? Multiple answers possible.;Another reason, namely ...;bool;;
29.01;ws060__1;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik raak mijn baan (waarschijnlijk) kwijt door het coronavirus;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I (probably) lose my job because of the corona virus;bool;;
29.02;ws060__2;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik zal (waarschijnlijk) mijn baan verliezen om andere redenen dan het coronavirus;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I will (probably) lose my job for reasons other than the corona virus;bool;;
29.03;ws060__3;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik beschouw mijn baan als voorlopig;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I consider my job to be temporary;bool;;
29.04;ws060__4;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik wil meer verdienen;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I want to earn more;bool;;
29.05;ws060__5;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik wil een baan met betere werkomstandigheden;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I want a job with better working conditions;bool;;
29.06;ws060__6;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik wil een bijbaan, ik wil wat bijverdienen;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I want a side job, I want to earn some extra money;bool;;
29.07;ws060__7;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik wil korter werken;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I want to work fewer hours;bool;;
29.08;ws060__8;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik wil langer werken;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I want to work longer;bool;;
29.09;ws060__9;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Mijn baan bevalt me niet;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I don't like my job;bool;;
29.1;ws060__10;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Ik wil een baan met meer zekerheid;For what reason (s) are you looking for a (different) job? Multiple answers possible.;I want a job with more certainty;bool;;
29.11;ws060__11;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Vanwege de veranderde omstandigheden thuis;For what reason (s) are you looking for a (different) job? Multiple answers possible.;Because of the changed circumstances at home;bool;;
29.12;ws060__12;ws060;multi;ws058;Reasons Looking for New Job;Om wat voor reden(en) zoekt u een (andere) baan? Meerdere antwoorden mogelijk.;Anders, namelijk...;For what reason (s) are you looking for a (different) job? Multiple answers possible.;Otherwise, namely...;bool;;
30.01;ws063__1;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;gereageerd op advertenties;How did you look for work in the past two months? Multiple answers possible.;responded to ads;bool;;
30.02;ws063__2;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;advertenties geplaatst;How did you look for work in the past two months? Multiple answers possible.;ads;bool;;
30.03;ws063__3;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;zelf gevraagd bij werkgevers;How did you look for work in the past two months? Multiple answers possible.;asked by employers;bool;;
30.04;ws063__4;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;via vrienden en relaties;How did you look for work in the past two months? Multiple answers possible.;through friends and relationships;bool;;
30.05;ws063__5;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;via UWV;How did you look for work in the past two months? Multiple answers possible.;via UWV;bool;;
30.06;ws063__6;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;via uitzendbureau;How did you look for work in the past two months? Multiple answers possible.;through employment agency;bool;;
30.07;ws063__7;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;cv op internet gezet/bijgewerkt;How did you look for work in the past two months? Multiple answers possible.;CV put on internet / updated;bool;;
30.08;ws063__8;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;actief begeleid door (loopbaan)coach;How did you look for work in the past two months? Multiple answers possible.;actively supported by (career) coach;bool;;
30.09;ws063__9;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;advertenties gevolgd;How did you look for work in the past two months? Multiple answers possible.;followed ads;bool;;
30.1;ws063__10;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;op andere wijze;How did you look for work in the past two months? Multiple answers possible.;otherwise;bool;;
30.11;ws063__11;ws063;multi;ws058;Job Search Strategy;Hoe hebt u in de afgelopen twee maanden naar werk gezocht?Meerdere antwoorden mogelijk.;ik heb niet gezocht in de afgelopen twee maanden;How did you look for work in the past two months? Multiple answers possible.;I have wanted in the past two months;bool;;
31;ws064;ws064;open;ws063;Job Applications;Hoeveel keer hebt u in de afgelopen twee maanden gesolliciteerd (persoonlijk, schriftelijk, telefonisch, via e-mail of internet)?;;How many times did you apply in the past two months (in person, in writing, by telephone, via email or on the internet)?;;int;;
32;ws065;ws065;cat;ws063;Reasons for Taking Steps Towards Job Search;Wat is de belangrijkste reden dat u de afgelopen twee maanden geen stappen hebt ondernomen om werk te vinden?;;What is the main reason that you have not taken steps to find work in the past two months?;;Categorical;ik heb geen geschikte advertentie of vacature gezien, ik denk dat er geen geschikte baan voor mij is, ik heb een baan gevonden, maar ben nog niet begonnen, ik wacht een sollicitatie of gesprek af, ik heb een geschikte baan gezien, maar het salaris was te laag, ik moet zorgen voor mensen (kinderen, ouders) die van mij afhankelijk zijn, door het coronavirus is het niet veilig voor mij om te werken, andere reden, ik weet het niet;I have not seen a suitable advertisement or vacancy, I think there is no suitable job for me, I have found a job, but I have not yet started, I am waiting for an application or interview, I have seen a suitable job, but the salary was too low, i have to take care of people (children, parents) who depend on me, because of the coronavirus it is not safe for me to work, other reason, i don't know
33;JobHours;JobHours;open;ws058;Desired Working Hours;Denkt u aan de baan die u nu zoekt.;;Think of the job you are looking for now.;;Int;;
34;JobWage;JobWage;open;ws058;Desired Wage;Wat zou u minimaal bruto per maand willen verdienen om zo’n baan, met het aantal uren dat u wilt werken, aan te nemen?;;What would you like to earn at least gross per month to take on such a job, with the number of hours you want to work?;;Int;;
35.1;JobChar1;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;flexibele werktijden;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;flexible working hours;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
35.2;JobChar2;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;salaris;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;salary;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
35.3;JobChar3;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;regelmatig in contact komen met anderen;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;regular contact with others;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
35.4;JobChar4;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;niet regelmatig in contact komen met anderen;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;not regularly come into contact with others;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
35.5;JobChar5;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;de mogelijkheid om thuis te werken;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;the ability to work at home;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
35.6;JobChar6;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;de zekerheid je baan te behouden;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;guarantee to keep your job;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
35.7;JobChar7;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;reistijd naar en van het werk;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;travel time to and from work;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
35.8;JobChar8;JobChar;table;ws058;Relative Importance Job Characteristics;Denkt u aan het zoeken naar werk.Zijn de volgende zaken nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;het reizen met het openbaar vervoer om op het werk te komen vermijden;Think about looking for work. Have the following things become less important or more important compared to before the coronavirus outbreak?;traveling by public transport to be avoided at work;Categorical;veel minder belangrijk, minder belangrijk, niet minder en niet meer belangrijk, Belangrijker,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.1;PosJobChar1;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;flexibele werktijden;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;flexible working hours;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.2;PosJobChar2;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;salaris;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;salary;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.3;PosJobChar3;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;regelmatig in contact komen met anderen;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;regular contact with others;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.4;PosJobChar4;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;niet regelmatig in contact komen met anderen;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;not regularly come into contact with others;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.5;PosJobChar5;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;de mogelijkheid om thuis te werken;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;the ability to work at home;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.6;PosJobChar6;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;de zekerheid je baan te behouden;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;guarantee to keep your job;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.7;PosJobChar7;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;reistijd naar en van het werk;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;travel time to and from work;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
36.8;PosJobChar8;PosJobChar;table;ws058;Relative Importance Job Characteristics During Job Search;Stel dat u morgen werkloos wordt en dat u naar werk zoekt.Zijn de volgende zaken bij het zoeken naar werk nu minder belangrijk of belangrijker geworden in vergelijking met voor de uitbraak van het coronavirus?;het reizen met het openbaar vervoer om op het werk te komen vermijden;Suppose you become unemployed tomorrow and you are looking for a job, have the following things become less important or more important when looking for a job compared to the coronavirus outbreak?;traveling by public transport to be avoided at work;Categorical;veel minder belangrijk, minder belangrijk,niet minder en niet meer belangrijk ,belangrijker ,veel belangrijker;much less important, less important, no less and no more important, more important, much more important
37;vakantiegeld1;vakantiegeld1;cat;-;Holiday Bonus;Normaal gesproken krijgen mensen in mei hun vakantiegeld uitgekeerd. Welke situatie is op u van toepassing?;;Normally people receive their holiday pay in May. Which situation applies to you?;;Categorical;Ik heb mijn vakantiegeld afgelopen mei ontvangen., Ik heb mijn vakantiegeld afgelopen mei ontvangen, maar door corona is er nu minder uitgekeerd., Mijn vakantiegeld wordt, in overleg, later dit jaar uitgekeerd., Mijn vakantiegeld wordt, in overleg, niet dit jaar maar pas volgend jaar uitgekeerd.,Het is nog onbekend wanneer ik mijn vakantiegeld van dit jaar krijg uitgekeerd., Mijn werkgever heeft dit jaar geen vakantiegeld uitgekeerd, omdat mijn werkgever failliet is gegaan of dreigt failliet te gaan, Niet van toepassing, ik heb geen recht op vakantiegeld (bijvoorbeeld ik werk niet), Anders, namelijk…;I received my holiday pay last May., I received my holiday pay last May, but less has been paid out due to corona., My holiday pay will, in consultation, be paid later this year., My holiday pay will, in consultation, not be this year but only paid next year., It is still unknown when I will receive my holiday allowance for this year., My employer has not paid any holiday allowance this year because my employer has gone bankrupt or is in danger of going bankrupt, Not applicable, I have no entitlement to holiday pay (for example, I do not work), Other, namely…
38;vakantiegeld2;vakantiegeld2;open;vakantiegeld1;Should Receive Holiday Pay;"Het vakantiegeld is minimaal acht procent van het jaarloon, net geen maandsalaris, vóór aftrek van belastingen.[Welk netto bedrag hebt u als vakantiegeld ontvangen?/Welk netto bedrag had u als vakantiegeld moeten ontvangen en welk bedrag hebt u ontvangen?/Welk netto bedrag had u eigenlijk als vakantiegeld moeten ontvangen?]
Als u het niet precies weet geeft u dan uw beste inschatting.Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.";;"Holiday pay is at least eight percent of the annual salary, as no salary, before taxes. [What net amount you received as holiday? / What net amount you should have received as holiday pay and what amount did you receive? / What net you'd actually like to receive holiday pay?]
If you are not sure please give your best inschatting.Vult only numbers (whole euros), so without full stops and commas.";;Int;;
39.1;vakantiegeld2b_1;vakantiegeld2b;grid;vakantiegeld1;Received Amount Holiday Pay;Welk netto bedrag had u als vakantiegeld moeten ontvangen en welk bedrag hebt u ontvangen? Als u het niet precies weet geeft u dan uw beste inschatting.Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;Welk netto bedrag had u als vakantiegeld moeten ontvangen?;What net amount you should have received as holiday pay and what amount did you receive? If you are not sure please give your best inschatting.Vult only numbers (whole euros), so without full stops and commas.;What net amount you should have received as holiday pay?;Int;;
39.2;vakantiegeld2b_2;vakantiegeld2b;grid;vakantiegeld1;Received Amount Holiday Pay;Welk netto bedrag had u als vakantiegeld moeten ontvangen en welk bedrag hebt u ontvangen? Als u het niet precies weet geeft u dan uw beste inschatting.Vult u alleen cijfers (hele euro's) in, dus zonder punten en komma’s.;Welk netto bedrag hebt u als vakantiegeld ontvangen?;What net amount you should have received as holiday pay and what amount did you receive? If you are not sure please give your best inschatting.Vult only numbers (whole euros), so without full stops and commas.;What net amount you receive as a holiday?;Int;;
40.01;vakantiegeld3a_pre;vakantiegeld3;grid;vakantiegeld1;Spending Holiday Pay;Waar zou u het vakantiegeld aan uitgeven vóórdat het coronavirus uitbrak en waar [gaat u het vakantiegeld nu aan uitgeven/zou u het vakantiegeld nu aan hebben uitgegeven uitgeven als u dit wel had ontvangen]?U kunt het geld voor één van de volgende doelen gebruiken of het geld verdelen over meerdere doelen. Het bedrag moet optellen tot het totale bedrag van het [ontvangen vakantiegeld/vakantiegeld dat u anders zou hebben ontvangen].;vakantie, uitstapjes, sociale of culturele vrijetijdsactiviteiten zoals bezoek aan museum, theater en bioscoop;Where would you spend your holiday pay before the coronavirus broke out and where [would you spend your holiday pay now / would you have spent your holiday pay now if you had received it]? You can use the money for one of the following purposes or divide the money over multiple goals. The amount must add up to the total amount of the [holiday / holiday allowance you would otherwise have received].;vacation, trips, social or cultural leisure activities such as visits to museum, theater and cinema;bool;Vóór de uitbraak van het corona virus zou ik mijn vakantiegeld uitgeven aan:, Door de uitbraak van het coronavirus, [ga/zou] ik nu het vakantiegeld uitgeven;Before the outbreak of the corona virus I would spend my vacation pay to, Due to the outbreak of the corona virus I now spend the vacation pay
